	DNMT3A	IDH2
BA3283	5.56220872440945	8.01965582601105
BA3390	4.84952562496592	7.18154554634955
BA3275	6.23486418682469	8.68106286594684
BA3136	4.44772389189131	7.50539293842063
BA3190	5.49396648422183	8.03197078783115
BA3234	4.64022476176229	7.45963779857083
BA3087	6.6100656847185	8.67155422607777
BA3454	5.62828464133832	8.23886821722062
BA3302	7.21704631455243	9.01306871894599
BA3117	6.53543485984192	9.1314039045803
BA3083	4.9696484625557	7.77846043065093
BA3266	5.7792526146876	8.04934885751887
BA3175	5.76798676791736	7.73200199894925
BA3268	6.16524477136675	8.48407580140491
BA3229	5.95520312741494	8.03197078783115
BA3353	7.19225834495813	8.68106286594684
BA3312	6.58028734101557	9.36044459889599
BA3119	6.88430660085161	8.78717245605116
BA3138	5.49101737126086	7.65513327960109
BA3219	4.50678453078849	6.87788091401863
BA3388	5.92596043186298	7.6160759273921
BA3357	7.00565090016862	8.72037345844597
BA3351	5.3154081495188	8.41846114844672
BA3208	5.9563978434584	7.31039812260742
BA3310	6.77421514705842	9.04860912314158
BA3200	6.93090952480088	8.33560901482561
BA3325	6.26203648745747	7.62683244469809
BA3146	6.20872841683922	8.05801802157941
BA3211	6.57247167015578	9.04501990946176
BA3237	6.27426778231287	8.28311530497155
BA3130	5.32375937310038	7.29515347515493
BA3376	6.44517490297706	8.15090969693391
BA3137	6.15834977750935	8.43037965011906
BA3300	6.68593691853273	9.14833321497193
BA3375	6.31585760088979	8.63341745058943
BA3249	6.80545390529169	8.83544161006383
BA3385	5.55888193371954	7.76466876898383
BA3242	6.73050676463962	7.93658206656699
BA3446	4.91685437213902	7.38062061343463
BA3416	6.96912043899967	9.12586826213153
BA3123	6.46480031307091	8.07424285809521
