	CBL	IDH1
BA3133	6.43046914091516	6.38171333036269
BA3164	6.14889515620208	8.22445433533228
BA3451	7.1045805500083	7.550843282623
BA3286	6.63170598568284	7.52533179189238
BA3212	3.29595206047076	5.68192875741287
BA3103	5.82781183106441	4.18132017858849
BA3271	6.67231936736834	7.59808663804993
BA3152	6.7270321335196	7.1445927897216
BA3095	6.38599164256093	7.01543819204674
BA3192	5.83800900717186	6.08362235286883
BA3251	6.34367856158157	6.81629782268832
BA3362	7.07770710445007	7.53867754134672
BA3400	5.42383455525135	4.5085935471109
BA3135	5.76293182295601	4.33903266779967
BA3408	5.88798351527577	3.17079334153815
BA3187	6.34099882607851	5.68573255517546
BA3098	7.62320575204897	6.64018393293961
