	ABL1	NRAS
BA2500	0.0246304974765681	9.449107205198832
BA2501	0.0150558759913482	8.496871229148248
BA2502	0.0097837058399423	5.170151455881583
BA2505	0.0148648161499639	7.376180959373921
BA2507	0.0108904109589041	6.323164550140183
BA2510	0.016472602739726	10.002789722138292
BA2511	0.0059480894015861	3.922883496370989
BA2512	0.0125036049026676	7.831734620799914
BA2514	0.0112743330930064	12.464773887304768
BA2515	0.0118655371304974	6.457286183596167
BA2520	0.0036265320836337	8.985294270008062
BA2521	0.0162959625090122	6.039672451791439
BA2523	0.0194394376351838	5.0196321228327445
BA2524	0.0125360490266762	12.744466486724487
BA2525	0.0119700793078586	6.218346892459119
BA2526	0.0263968997837058	14.722664413461908
BA2528	0.0154992790194664	5.09724749614456
BA2532	0.0165176640230713	10.267037725282934
BA2534	0.0232516222062004	6.905483298599527
BA2538	0.012586517664023	16.900502695589743
BA2539	0.0068961788031723	4.537088989102422
BA2540	0.0125937274693583	6.054894152053536
BA2541	0.0059012256669069	5.380551582067623
BA2545	0.0118186733958183	4.784629124407232
BA2546	0.0096431146359048	5.446428254358931
BA2552	0.0384967555875991	11.048744621165277
BA2559	0.014059120403749	9.506071501436072
BA2561	0.0080064888248017	2.698809235538483
BA2563	0.0161067051189617	5.826710141712514
BA2564	0.0097710886806056	4.965887445456906
BA2567	0.0041636625811103	4.228732816065597
BA2570	0.0145692141312184	6.188232444630103
BA2575	0.0071935832732516	3.365521473683459
BA2577	0.0213626532083633	5.136144319266734
BA2579	0.0098648161499639	6.095692717066467
BA2583	0.0164635904830569	8.733469835291752
BA2584	0.0166005767844268	6.580453500304655
BA2587	0.0186751982696467	7.152262327264241
BA2588	0.0140032444124008	5.335671793208127
BA2589	0.0179704397981254	11.82108418072203
BA2592	0.0183543619322278	12.80542962725442
BA2593	0.0048125450612833	1.4578515196858592
BA2594	0.0085021629416005	5.250992173300524
BA2595	0.0101045421773612	7.314215009283154
BA2597	0.0188248017303532	7.244110096103369
BA2600	0.011598774333093	8.038362956251401
BA2603	0.0146557317952415	4.495606003592097
BA2618	0.0207354001441961	5.826500133225679
BA2619	0.0106759192501802	5.773876071762738
BA2620	0.0146971881759192	7.255773133242853
BA2621	0.009030281182408	4.710135869407433
BA2622	0.0153731074260994	7.653119517097366
BA2623	0.0129217736121124	9.40092566995743
BA2629	0.0102992069214131	5.744190992546044
BA2631	0.0144736842105263	5.408056770560164
BA2634	0.0064221341023792	3.1390996064394523
BA2636	0.008720259552992	5.599436930312099
BA2639	0.0137959625090122	6.751635296164063
BA2644	0.0111986301369863	4.347545693855714
BA2645	0.0217844268204758	11.338817253390667
BA2646	0.0225540735400144	7.34079128932588
BA2649	0.0211121124729632	6.336509856905971
BA2651	0.007761355443403	5.327329218940472
BA2653	0.0130948089401586	6.741661901767047
BA2655	0.0299783705839942	20.979843074517063
BA2656	0.0079307858687815	5.593365660631477
BA2657	0.0115537130497476	5.725728742986446
BA2658	0.0126622206200432	7.156806709149088
BA2659	0.0140519105984138	4.917205791312726
BA2660	0.0080857966834895	3.8394979272238334
BA2662	0.0143330930064888	5.174873375641067
BA2663	0.0116925018024513	7.00039899140675
BA2667	0.0136445565969718	3.9386095782797024
BA2670	0.0059354722422494	7.010879398612126
BA2674	0.0104379956741167	6.38393882304059
BA2675	0.0151568132660418	5.890971402854032
BA2676	0.0147981254506128	2.984556426375248
BA2677	0.0095962509012256	5.460753359498715
BA2681	0.0056380677721701	3.461145248284914
BA2682	0.012732516222062	9.285907166638385
BA2685	0.0221935832732516	13.002102555570051
BA2688	0.0081380677721701	5.405234527166779
BA2691	0.0082858687815428	7.232251902065646
BA2694	0.0088482335976928	6.538240750812436
BA2695	0.0070007209805335	10.34062578591702
BA2697	0.0056218457101658	2.119432425427371
BA2701	0.009388968997837	4.618057162114398
BA2704	0.0232498197548666	5.535302395714046
BA2705	0.0289185291997116	21.039284807379435
BA2707	0.0052000720980533	12.846809225027252
BA2709	0.008352559480894	6.452180094914144
BA2712	0.0131182408074981	5.12499264835343
BA2714	0.0148071377072819	7.440353743657345
BA2715	0.0302505407354001	8.663863519479758
BA2718	0.0331092285508291	6.603726368014267
BA2720	0.0045331651045421	7.317059382439903
BA2721	0.0158417447728911	9.006565138676907
BA2722	0.0155623648161499	8.754862741534723
BA2723	0.0153586878154289	11.432916728342231
BA2724	0.008516582552271	7.643542629558988
BA2726	0.008866258111031	5.631474449942824
BA2727	0.0105082912761355	4.266885362567517
BA2728	0.0145583994232155	5.933667435809032
BA2731	0.0071449170872386	4.816553367169133
BA2733	0.006016582552271	7.235750909460834
BA2735	0.0094772891131939	3.7589443349711695
BA2737	0.0095133381398702	7.80736744659906
BA2742	0.0109138428262436	6.819091270048172
BA2744	0.0048918529199711	1.8768139796476824
BA2746	0.0107534246575342	7.157495516218844
BA2747	0.0102829848594087	5.209547620025101
BA2748	0.0250684931506849	8.072592516374547
BA2751	0.0057804614275414	3.963500473344423
BA2756	0.015416366258111	6.716951876904163
BA2758	0.0097909156452775	4.710901142268208
BA2760	0.0199783705839942	9.853778005013144
BA2762	0.0134895457822638	8.394525106949406
BA2764	0.0110994953136265	4.328661171246706
BA2765	0.0068673395818312	5.208450644789859
BA2769	0.0132498197548666	7.827468774211522
BA2772	0.0075180245133381	5.97284667334818
BA2775	0.0131074260994953	4.925416646109865
BA2776	0.0300306416726748	7.880109923538056
BA2778	0.0114708002883922	7.562532731106684
BA2782	0.0080569574621485	4.952764949874134
BA2786	0.0120547945205479	8.183059217300544
BA2787	0.0031254506128334	2.1797058119946406
BA2789	0.026472602739726	8.466252644258558
BA2791	0.0192880317231434	7.691848918126244
BA2792	0.0083723864455659	4.463237476301028
BA2798	0.019176279740447	16.570351034793458
BA2801	0.005706560922855	5.434259868792764
BA2802	0.0085291997116077	6.973941087243167
BA2804	0.0094412400865176	4.037242107518753
BA2806	0.0151315789473684	9.303315218445215
BA2808	0.006452775775054	7.037198050366787
BA2809	0.0128298485940879	7.056956723986425
BA2811	0.0167159336697909	7.022504907624065
BA2812	0.006986301369863	3.1636674096968176
BA2813	0.0101748377793799	6.747410978812964
BA2814	0.012141312184571	4.273687905071829
BA2816	0.0128983417447728	5.91463967363939
BA2817	0.0133705839942321	8.710303645804524
BA2820	0.0195241528478731	10.04455555464702
BA2821	0.0274477289113193	9.609024219106018
BA2822	0.0146539293439077	7.588331246779345
BA2824	0.0203262436914203	6.101878154078072
BA2828	0.0093727469358327	7.530200998488456
BA2829	0.0157137707281903	9.098982536320552
BA2830	0.0076910598413842	9.370719566225471
BA2832	0.0145367700072098	5.843105657296732
BA2836	0.0119899062725306	10.818872789112495
BA2837	0.0134246575342465	9.139573591800271
BA2839	0.0310886806056236	14.3200674553256
BA2840	0.0080533525594808	12.625254690534293
BA2841	0.0249585436193222	14.75027922621539
BA2842	0.0069790915645277	5.473650813185442
BA2843	0.0125991348233597	10.754092102581224
BA2844	0.0165176640230713	9.548955095388392
BA2846	0.0267069214131218	7.224077524078292
BA2850	0.0103568853640951	7.298949905423584
BA2851	0.0235832732516222	10.300996861027816
BA2852	0.0104434030281182	6.415393177434403
BA2855	0.0142087238644556	8.902960568738699
BA2856	0.0061751982696467	3.64075814736288
BA2858	0.0095602018745493	6.219728248738839
BA2860	0.0067519826964671	3.988486367958493
BA2861	0.0149585436193222	3.743036631019776
BA2865	0.0138139870223503	4.822354131059117
BA2866	0.0177505407354001	6.383766854889167
BA2867	0.0181416726748377	11.530855459216278
BA2868	0.022945205479452	8.254055222749177
