	NPM1	SUZ12
BA3126	423.3258870021679	1.3116584068785555
BA3128	1184.566686506971	2.04513332545828
BA3130	233.00493093195377	1.6645989629550084
BA3133	548.0215910572665	5.216699991920351
BA3135	1036.4799729020365	2.242828290223296
BA3136	540.2219088535331	4.128431097016184
BA3137	658.66789022419	3.044874216075641
BA3138	964.934672472794	3.690354445632429
BA3139	854.6870240840752	5.131931417554232
BA3141	1771.353530898436	3.5091168454009503
BA3142	823.5670939630331	2.980025656584301
BA3145	527.3541563951194	1.4871110201568294
BA3146	724.235544067641	3.318536602650176
BA3149	297.9528024511156	1.0800889306513628
BA3152	363.3788364769674	2.3413475732992577
BA3153	810.1571869475665	2.8710600541324407
BA3154	369.5337442438789	1.9819797859077413
BA3156	1108.0450205647187	2.421733456584118
BA3157	2477.163519518644	3.4411350954507927
BA3158	656.5434153110926	2.7953724333764387
BA3162	712.9927125750769	3.2459754133263963
BA3163	195.17160065846025	1.659443044336491
BA3164	1006.7027276039724	4.1717609370081705
BA3167	839.6627692307691	1.106458613145681
BA3169	407.5842455818831	1.2625645025629024
BA3171	428.433612084205	4.371778673438539
BA3173	1272.5773057461197	3.228034098320759
BA3174	430.156349005552	1.7322300333078482
BA3175	459.5290877514503	2.3222003058009952
BA3176	1129.7328969763803	3.3796875296882387
BA3177	1587.6337128940356	5.299911888718629
BA3178	593.7176450937144	1.8007557232702156
BA3180	1005.2974130297282	2.386361091316556
BA3181	531.1001912075557	2.21162992051035
BA3182	859.4595282116155	4.231217962654564
BA3183	1450.5036346356574	4.677850653095285
BA3185	762.8095147721068	2.306702043382672
BA3186	750.6033154338107	4.458450714038702
BA3187	685.79900724955	2.235356236454992
BA3189	1463.1101118193071	4.398919034033667
BA3190	1966.934271120193	2.750905028405262
BA3191	526.8250531687722	2.637623582177371
BA3192	1365.1212215978203	2.5377318925315104
BA3194	1392.2868741519217	5.581309322387111
BA3195	1043.4049337025683	2.3047722288062595
BA3197	547.1094108862185	2.0972527138483645
BA3199	2511.9588647777828	6.206970067163447
BA3200	784.4308424290588	2.9236509388094274
BA3202	940.5521645123448	3.963135251851999
BA3203	210.9951207123048	1.3016145260174428
BA3206	767.2675833968548	2.7966282887581664
BA3207	609.5461392578536	3.2763282771064266
BA3208	724.5936845121286	2.0615942299825103
BA3210	578.2796027479092	1.8637945242052707
BA3211	866.1912154024554	3.6146554936113753
BA3212	418.0380708088032	4.359733267888941
BA3213	1180.523693648399	4.473245099354514
BA3214	1506.22650339772	1.0531816661510225
BA3216	768.3636119706774	2.0805143635542547
BA3217	1052.5268080301876	1.9786921294959936
BA3219	405.0458000859567	2.1866336720993536
BA3221	322.6561060239921	2.4217183584632296
BA3222	1297.8599968996143	5.677033209468715
BA3225	244.08352575725635	2.2105456054119874
BA3226	1197.3099928369477	2.7975491794236835
BA3227	883.0480512982696	3.503507625516032
BA3228	1697.5546582007491	3.265998711818787
BA3229	1455.519949236932	4.020053270622499
BA3230	849.2743784848928	4.444549474767367
BA3232	987.2649466366088	3.2198476333781896
BA3234	353.1609618763414	3.6514510001452094
BA3235	255.76999018796928	2.0942884352959164
BA3237	907.363305324446	5.045740604542405
BA3240	1127.7512233088437	3.717938947483899
BA3242	806.7854193169961	2.824208182715297
BA3243	980.8468532249954	2.873395469987453
BA3245	188.53847669710288	1.7947656040773452
BA3249	731.5733312384782	2.504202895003748
BA3250	921.1257791725455	4.644448638351099
BA3251	644.4370405726117	2.414921050308429
BA3255	727.1856605956416	2.7422976805609176
BA3258	435.4845579666661	3.5924173758368863
BA3260	597.0581526568168	3.774603994461609
BA3261	849.8163244295235	3.35494157644816
BA3264	1007.2563954978184	4.024273997324082
BA3266	1097.5275507982071	4.829394616812852
BA3268	1563.115475951064	5.316122515090807
BA3269	341.03154410548336	1.830988636474024
BA3270	1212.1378999226934	4.598906208355961
BA3271	1091.401344978024	4.513018463939426
BA3273	347.22410491574624	1.1675918021398823
BA3275	1010.2440870702844	4.902504339822986
BA3277	876.774825708061	1.6324152584145304
BA3280	673.4310204187548	1.4526041835791526
BA3283	744.2270885569558	2.792152874144892
BA3285	965.9732478767633	4.052687988006916
BA3286	729.8611190039842	3.4310554380868004
BA3289	237.80493783010863	0.7055478041006996
BA3290	1028.6537067311071	4.822961034302958
BA3293	1410.6575633186828	2.1713239310413144
BA3295	931.4742750450056	5.09920810910413
BA3296	427.2224889851171	4.729501004316536
BA3297	892.6426763057029	4.4954226607483045
BA3299	588.9359797974884	1.5352854751340113
BA3300	892.2016144980187	3.754927576706723
BA3302	2404.70236921347	6.3692753164369
BA3305	825.9343252350294	2.6689439943577176
BA3306	1342.1610074766056	2.7870472676118303
BA3308	880.1282427815349	2.718611926441133
BA3310	813.7038750493303	2.500281472355026
BA3311	512.6421293458105	3.366305903824606
