	NPM1	MYD88
BA3306	9.27982760161886	6.57772759538865
BA3371	8.91420804405317	6.11337939204764
BA3413	9.33027676031699	7.58415033094325
BA3411	8.88148184246882	7.80817251236376
BA3133	7.55977224878375	7.57365573963701
BA3164	8.77804587995587	6.97042186538325
BA3451	7.44242521067177	8.79328666582968
BA3286	8.50412364911741	7.61362919863888
BA3212	7.50105244518025	6.59519386649706
BA3103	8.7420670822246	7.46577618872004
BA3271	8.92748837970555	7.89717932578411
BA3152	7.13359161213086	8.70112769787832
BA3095	8.61695773628636	6.78683353920324
BA3192	9.4000752436972	6.21230542388257
BA3251	8.7420670822246	7.49672370749375
BA3362	7.81686981561798	7.40108920011618
BA3400	8.15477520582082	6.92050118830241
BA3135	9.25517667754352	7.52310081760665
BA3408	8.42321613548815	7.10693286579065
BA3187	8.65006116973985	7.17116786854616
BA3098	8.77804587995587	8.02856358263369
