#Résultats bruts de l'abondance de mutation du gène TP53 selon la feature totalDrug, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.000868 avec le test Mann-Whitney U
 Abundance   TotalKmers  NormalizedExpression totalDrug
276.275862 6.421663e+09             43.022479         y
127.206897 7.449994e+09             17.074765         n
 39.758621 7.811765e+09              5.089582         y
 87.827586 9.500869e+09              9.244163         y
590.931034 1.279018e+10             46.201944         y
122.068966 5.816476e+09             20.986757         y
842.931034 7.884426e+09            106.910901         y
 42.758621 7.312465e+09              5.847361         n
215.827586 9.108396e+09             23.695455         y
157.724138 7.045066e+09             22.387888         y
207.000000 7.839564e+09             26.404529         y
194.517241 9.180253e+09             21.188658         y
 48.103448 8.100468e+09              5.938354         y
 58.793103 1.092589e+10              5.381080         y
 18.172414 7.704811e+09              2.358580         y
 10.689655 6.993952e+09              1.528414         y
121.413793 8.292092e+09             14.642119         y
 81.448276 7.137673e+09             11.411041         n
 88.724138 9.025790e+09              9.830069         y
182.827586 1.031387e+10             17.726381         y
 24.586207 7.758259e+09              3.169036         n
 27.793103 7.832962e+09              3.548224         y
 14.482759 6.912981e+09              2.095009         n
114.551724 6.765093e+09             16.932763         y
 56.655172 4.948445e+09             11.449086         n
266.000000 5.743500e+09             46.313225         y
252.310345 6.255084e+09             40.336841         y
310.103448 9.119252e+09             34.005361         n
 97.586207 8.098345e+09             12.050142         y
264.724138 8.331447e+09             31.774088         y
211.034483 8.919518e+09             23.659852         n
 17.103448 9.118767e+09              1.875632         n
109.689655 7.110504e+09             15.426425         y
 38.103448 6.835010e+09              5.574747         n
 15.827586 9.386605e+09              1.686189         y
113.310345 8.448480e+09             13.411921         y
219.413793 8.755899e+09             25.058968         y
 42.379310 8.752928e+09              4.841730         y
326.310345 8.579029e+09             38.035813         y
306.068966 6.882652e+09             44.469629         y
223.068966 7.311618e+09             30.508839         y
 51.827586 4.804985e+09             10.786212         y
 25.931034 7.799221e+09              3.324824         n
261.448276 9.061745e+09             28.851869         y
 19.068966 6.623609e+09              2.878939         n
246.551724 7.153630e+09             34.465263         n
308.172414 7.211399e+09             42.734067         n
107.965517 6.033548e+09             17.894199         y
162.344828 6.588789e+09             24.639556         y
281.172414 8.854002e+09             31.756535         n
213.000000 8.485386e+09             25.101980         y
 19.068966 5.380352e+09              3.544185         y
173.758621 7.200585e+09             24.131182         y
157.137931 5.917689e+09             26.553936         y
159.862069 8.694402e+09             18.386781         n
231.551724 6.436533e+09             35.974601         y
127.413793 9.990793e+09             12.753121         y
206.379310 7.345157e+09             28.097331         y
 23.517241 9.875195e+09              2.381446         n
 75.275862 6.740566e+09             11.167587         n
218.310345 6.145850e+09             35.521590         y
 49.172414 5.903974e+09              8.328697         y
352.689655 1.152272e+10             30.608200         y
 33.448276 8.909130e+09              3.754382         n
122.206897 1.291642e+10              9.461361         y
292.172414 7.223086e+09             40.449802         y
336.241379 8.901559e+09             37.773314         y
 27.620690 5.220229e+09              5.291087         y
 70.862069 4.942945e+09             14.336002         y
353.931034 7.477301e+09             47.334063         y
 56.965517 7.894510e+09              7.215840         y
209.034483 8.134305e+09             25.697890         y
107.068966 8.812082e+09             12.150246         y
 17.103448 8.128816e+09              2.104052         y
106.275862 8.091267e+09             13.134638         y
125.758621 8.074296e+09             15.575180         n
 71.793103 9.872869e+09              7.271757         y
 39.896552 5.990351e+09              6.660136         n
262.172414 7.137203e+09             36.733218         y
 20.310345 8.150876e+09              2.491799         y
288.965517 7.873301e+09             36.701952         y
211.931034 7.843750e+09             27.019095         y
334.413793 8.821732e+09             37.907952         y
230.620690 8.850037e+09             26.058725         y
236.620690 5.458739e+09             43.347135         y
 78.965517 6.930774e+09             11.393464         y
 35.275862 7.520287e+09              4.690760         y
385.931034 7.348317e+09             52.519652         n
 54.965517 6.346827e+09              8.660314         n
367.344828 6.065940e+09             60.558600         y
 33.137931 8.188510e+09              4.046882         y
 16.862069 5.385557e+09              3.130980         n
280.517241 9.656104e+09             29.050770         y
111.862069 1.124931e+10              9.943904         y
159.758621 6.065394e+09             26.339364         y
169.000000 8.097573e+09             20.870452         y
 56.655172 6.529792e+09              8.676413         n
 59.172414 6.093656e+09              9.710495         y
 31.000000 6.449494e+09              4.806579         n
226.448276 7.548975e+09             29.997220         y
366.931034 9.114826e+09             40.256505         y
 19.034483 8.305371e+09              2.291828         y
 76.965517 7.888831e+09              9.756264         y
158.310345 9.253249e+09             17.108623         y
135.482759 8.542809e+09             15.859275         y
 82.620690 7.050319e+09             11.718717         y
256.379310 9.771467e+09             26.237546         y
 55.586207 8.851492e+09              6.279869         y
314.379310 8.605161e+09             36.533808         y
267.758621 8.514264e+09             31.448239         y
417.517241 9.216849e+09             45.299348         y
340.862069 9.259345e+09             36.812763         y
304.172414 9.138029e+09             33.286435         y
 91.034483 8.764152e+09             10.387141         n
 47.172414 9.478135e+09              4.976972         y
 70.172414 9.603534e+09              7.306937         y
 19.241379 9.208330e+09              2.089562         y
241.517241 8.980720e+09             26.892859         y
 24.586207 8.484674e+09              2.897720         n
215.000000 6.886081e+09             31.222403         y
433.965517 1.293085e+10             33.560489         y
 13.896552 7.646813e+09              1.817300         y
240.931034 1.089831e+10             22.107194         y
456.241379 7.536666e+09             60.536236         y
 97.344828 8.865050e+09             10.980742         n
607.000000 1.352301e+10             44.886446         y
407.206897 8.903126e+09             45.737519         y
124.379310 1.240522e+10             10.026369         y
126.517241 9.686832e+09             13.060745         y
367.379310 7.679781e+09             47.837211         y
267.310345 1.143178e+10             23.383087         y
 40.620690 9.003873e+09              4.511468         n
433.965517 9.072297e+09             47.834141         n
 27.724138 9.216000e+09              3.008261         y
119.068966 9.270890e+09             12.843315         y
 72.620690 9.273773e+09              7.830760         y
 45.068966 8.673760e+09              5.196013         n
276.586207 1.255232e+10             22.034675         y
 31.896552 8.683805e+09              3.673108         y
202.034483 1.081995e+10             18.672409         y
182.448276 8.443222e+09             21.608846         n
158.482759 9.377847e+09             16.899696         y
 36.655172 9.263615e+09              3.956897         y
 67.689655 9.036584e+09              7.490624         y
 21.344828 8.504459e+09              2.509839         y
166.620690 1.257424e+10             13.250952         y
207.586207 8.449282e+09             24.568502         y
 81.517241 1.298227e+10              6.279120         y
200.931034 1.115858e+10             18.006869         y
148.275862 1.126770e+10             13.159367         y
 45.689655 8.264259e+09              5.528585         y
312.206897 8.414149e+09             37.104986         y
 23.517241 8.684668e+09              2.707903         n
232.034483 9.697777e+09             23.926564         y
 31.000000 1.186580e+10              2.612551         y
616.827586 8.747321e+09             70.516174         n
521.896552 8.793963e+09             59.347139         y
301.275862 7.963119e+09             37.833902         y
 75.172414 8.331035e+09              9.023178         y
150.448276 7.716696e+09             19.496463         y
381.827586 9.523930e+09             40.091388         y
 65.482759 7.659302e+09              8.549442         y
 56.310345 9.406260e+09              5.986476         y
 83.931034 9.625212e+09              8.719915         n
 24.586207 8.755676e+09              2.808031         y
 57.000000 7.396633e+09              7.706209         y
142.931034 1.028094e+10             13.902525         y
196.758621 1.219810e+10             16.130266         y
170.965517 7.166337e+09             23.856752         n
 40.620690 8.947256e+09              4.540017         n
163.448276 7.815739e+09             20.912710         y
173.137931 1.194717e+10             14.491964         y
226.206897 1.215136e+10             18.615762         y
 45.965517 1.179849e+10              3.895880         y
189.551724 1.050290e+10             18.047555         y
153.724138 9.689104e+09             15.865671         y
312.551724 1.183531e+10             26.408420         y
 19.241379 1.104851e+10              1.741537         y
245.517241 7.673257e+09             31.996483         y
142.655172 9.318384e+09             15.309004         y
128.931034 8.965946e+09             14.380082         y
149.896552 7.501582e+09             19.981993         y
474.827586 1.233472e+10             38.495221         y
425.827586 8.634398e+09             49.317578         y
318.724138 9.269706e+09             34.383413         y
193.413793 1.270211e+10             15.226905         y
111.241379 7.852002e+09             14.167263         y
 37.413793 8.025251e+09              4.662009         y
320.482759 8.830584e+09             36.292364         y
493.206897 9.220262e+09             53.491634         y
212.724138 1.213128e+10             17.535174         y
 29.896552 1.061286e+10              2.817011         y
 66.275862 8.260289e+09              8.023432         y
143.413793 9.361311e+09             15.319841         y
203.275862 1.137375e+10             17.872372         y
206.482759 9.148745e+09             22.569517         n
484.413793 1.286380e+10             37.657130         y
 79.103448 1.226937e+10              6.447228         y
410.965517 7.759275e+09             52.964421         y
244.965517 8.628494e+09             28.390298         y
441.379310 1.254036e+10             35.196696         y
360.241379 1.260141e+10             28.587390         y
130.310345 8.115899e+09             16.056181         y
160.655172 7.421624e+09             21.646903         y
237.344828 1.462151e+10             16.232583         y
138.482759 8.682317e+09             15.949977         y
116.103448 8.000378e+09             14.512245         y
233.655172 8.168213e+09             28.605422         y
158.344828 8.929424e+09             17.732927         y
 44.827586 9.354307e+09              4.792187         y
 62.103448 7.789919e+09              7.972284         y
469.034483 1.108694e+10             42.305134         y
 73.931034 8.840811e+09              8.362472         y
371.896552 8.951200e+09             41.547116         y
198.965517 1.153613e+10             17.247170         y
 58.379310 1.285208e+10              4.542402         y
143.413793 8.578251e+09             16.718303         y
265.827586 1.140540e+10             23.307160         y
315.862069 1.195007e+10             26.431826         y
559.482759 1.239749e+10             45.128715         y
 14.965517 9.623216e+09              1.555147         n
121.034483 1.296097e+10              9.338380         y
176.206897 1.031085e+10             17.089470         y
 96.206897 1.182336e+10              8.137020         y
 58.793103 8.901402e+09              6.604926         y
 25.482759 8.063055e+09              3.160435         n
 23.517241 1.160064e+10              2.027236         y
421.275862 9.427317e+09             44.686717         y
 36.344828 6.844100e+09              5.310388         y
167.103448 1.293326e+10             12.920443         y
664.310345 1.208175e+10             54.984609         y
254.620690 1.251246e+10             20.349370         y
126.379310 1.150666e+10             10.983146         y
199.241379 1.150527e+10             17.317395         y
 46.000000 9.476463e+09              4.854132         y
377.172414 8.147961e+09             46.290403         y
571.344828 1.333923e+10             42.831923         y
135.000000 9.840911e+09             13.718242         y
114.655172 9.280434e+09             12.354506         y
314.206897 8.243534e+09             38.115558         y
135.758621 8.566528e+09             15.847567         y
 84.896552 1.306337e+10              6.498823         y
429.793103 1.134920e+10             37.869906         y
 10.689655 9.651607e+09              1.107552         y
 21.413793 1.071946e+10              1.997657         y
118.793103 8.524355e+09             13.935729         n
288.241379 1.130116e+10             25.505472         y
 46.931034 8.030638e+09              5.843998         y
177.724138 1.087497e+10             16.342494         y
234.620690 1.111997e+10             21.099032         y
254.551724 1.325000e+10             19.211452         y
116.034483 1.269244e+10              9.142017         y
 77.793103 1.344911e+10              5.784256         y
 61.275862 8.174919e+09              7.495592         y
 18.172414 1.106665e+10              1.642088         y
198.724138 1.181290e+10             16.822641         y
 19.310345 8.305332e+09              2.325054         y
116.068966 9.900148e+09             11.723962         y
103.620690 8.843945e+09             11.716569         y
171.241379 1.222447e+10             14.008084         y
 88.689655 6.721034e+09             13.195835         y
453.310345 1.269887e+10             35.696915         y
314.551724 1.233934e+10             25.491771         y
391.068966 8.923147e+09             43.826350         y
 77.413793 1.267442e+10              6.107875         y
375.034483 1.264142e+10             29.667123         y
 55.482759 9.376138e+09              5.917443         n
539.482759 1.185453e+10             45.508568         y
189.965517 5.072799e+09             37.447871         y
185.655172 6.363310e+09             29.175879         y
351.103448 9.067227e+09             38.722250         y
366.655172 9.820734e+09             37.334802         y
160.896552 1.249729e+10             12.874515         y
402.172414 7.614978e+09             52.813336         y
252.620690 8.005594e+09             31.555521         y
414.137931 1.231039e+10             33.641328         y
 65.103448 8.230549e+09              7.909976         y
 37.413793 9.848942e+09              3.798763         y
152.034483 1.169401e+10             13.001052         y
 96.068966 6.763000e+09             14.205082         y
 21.379310 8.420969e+09              2.538818         y
 52.034483 9.754595e+09              5.334356         y
413.758621 1.322240e+10             31.292253         y
389.241379 9.354164e+09             41.611561         n
205.655172 8.833061e+09             23.282436         y
 81.275862 8.557810e+09              9.497274         y
 47.137931 9.221331e+09              5.111836         n
343.000000 1.102149e+10             31.121018         y
329.517241 1.285754e+10             25.628321         y
354.241379 8.908070e+09             39.766345         n
 23.517241 1.215164e+10              1.935314         y
465.172414 8.157287e+09             57.025385         y
132.551724 1.125874e+10             11.773225         y
 28.862069 7.402556e+09              3.898933         y
 71.275862 8.167038e+09              8.727260         y
179.551724 1.072766e+10             16.737261         n
 40.206897 5.793404e+09              6.940117         n
 17.103448 7.661637e+09              2.232349         y
 60.137931 8.738210e+09              6.882180         y
261.310345 1.071934e+10             24.377463         y
211.758621 9.495128e+09             22.301818         n
152.965517 8.403008e+09             18.203661         y
284.758621 9.745327e+09             29.220016         y
 59.862069 1.285776e+10              4.655714         y
116.000000 8.273834e+09             14.020103         y
 22.068966 4.579619e+09              4.818952         n
343.965517 7.774889e+09             44.240570         y
311.931034 7.373008e+09             42.307160         y
