	ABL1	PMS2
BA2789	0.026472602739726	0.8943239423534266
BA2791	0.0192880317231434	0.442458471635705
BA2792	0.0083723864455659	0.5115151934335709
BA2798	0.019176279740447	0.4329759994849712
BA2801	0.005706560922855	0.3067210055230073
BA2802	0.0085291997116077	0.573936865160349
BA2804	0.0094412400865176	0.170446813344629
BA2806	0.0151315789473684	0.6420939895116583
BA2808	0.006452775775054	0.5742700787229459
BA2809	0.0128298485940879	0.8794831697263603
BA2811	0.0167159336697909	0.8524947367441578
BA2812	0.006986301369863	0.4625337862484813
BA2813	0.0101748377793799	0.4773997261801715
BA2814	0.012141312184571	0.5664724402904385
BA2816	0.0128983417447728	0.2890188577703629
BA2817	0.0133705839942321	0.2587723535035405
BA2820	0.0195241528478731	0.6006519815518419
BA2821	0.0274477289113193	1.5932505414217375
BA2822	0.0146539293439077	0.6502510366644276
BA2824	0.0203262436914203	1.146245646298489
BA2828	0.0093727469358327	0.6465668208351835
BA2829	0.0157137707281903	1.0396997896868156
BA2830	0.0076910598413842	0.509429482650834
BA2832	0.0145367700072098	0.6203963392901296
BA2836	0.0119899062725306	0.3985883001655925
BA2837	0.0134246575342465	0.3072342495953248
BA2839	0.0310886806056236	0.6616800224821646
BA2840	0.0080533525594808	0.6959963424223748
BA2841	0.0249585436193222	0.6595215676184905
BA2842	0.0069790915645277	0.2585005185717561
BA2843	0.0125991348233597	0.6071812412333869
BA2844	0.0165176640230713	0.4711760829513648
BA2846	0.0267069214131218	0.8171694507926155
BA2850	0.0103568853640951	0.6504490984178654
BA2851	0.0235832732516222	1.188751509195326
BA2852	0.0104434030281182	0.5743105423974707
BA2855	0.0142087238644556	0.385261099026963
BA2856	0.0061751982696467	0.2421285176151298
BA2858	0.0095602018745493	0.2411778582421786
BA2860	0.0067519826964671	0.5303996637063115
BA2861	0.0149585436193222	0.6536905046643704
BA2865	0.0138139870223503	0.9540392160453128
BA2866	0.0177505407354001	0.9012156227995938
BA2867	0.0181416726748377	0.8976979806378012
BA2868	0.022945205479452	1.0379847585906337
BA2870	0.0288085796683489	0.9936846175995574
BA2871	0.0117988464311463	0.8511974187329954
BA2872	0.011559120403749	0.707792091033332
BA2876	0.0157948810382119	0.3989524088456303
BA2879	0.0138914924297043	0.297421874021095
BA2880	0.0088518385003604	0.5356738770424224
BA2882	0.0111085075702956	0.6212260565521882
BA2883	0.0226189617880317	0.4705566415467699
BA2885	0.0144754866618601	0.9849830559671534
BA2887	0.0185832732516222	0.857727828629967
BA2889	0.0001099495313626	0.0077231568138349
BA2893	0.0105371304974765	0.6559454148337351
BA2901	0.0094160057678442	0.3451128092502922
BA2902	0.0132930785868781	0.3911566279163193
BA2903	0.0040879596250901	0.2136332472596037
BA2904	0.0122098053352559	0.9846723323593634
BA2905	0.0205587599134823	0.5857472513716083
BA2906	0.0187761355443403	0.7512181012731907
BA2908	0.0214978370583994	1.1552198975822503
BA2909	0.0079055515501081	0.5388399834469272
BA2910	0.0172152126892573	0.7928310626313445
BA2911	0.0161535688536409	0.938300917970714
BA2914	0.0139798125450612	0.8987440017397245
BA2915	0.0079091564527757	0.1386142412770874
BA2921	0.0102000720980533	0.4187113136207039
BA2922	0.017528839221341	0.7091874508927917
BA2923	0.0063229992790194	0.4507961489943125
BA2926	0.0152487382840663	0.9497780278741378
BA2928	0.0180551550108147	0.6897333676858532
BA2930	0.0134913482335976	0.6191493143257685
BA2932	0.0167591925018024	1.1369558392657064
BA2934	0.0065338860850757	0.4876285594339883
BA2935	0.0084967555875991	0.3149771688277997
BA2937	0.0097638788752703	0.7365515719123624
BA2939	0.0099242970439798	0.397878640054376
BA2944	0.020232516222062	1.5217382090163467
BA2947	0.0107516222062004	0.4438669899696129
BA2948	0.0091474405191059	0.4087815251363007
BA2950	0.0101117519826964	0.8187262497680479
BA2951	0.0080299206921413	0.2284500269558902
BA2952	0.0254001441961067	1.030047307482726
BA2953	0.0064059120403749	0.3309987537449803
BA2955	0.0074098774333093	0.5351482000717063
BA2956	0.0048413842826243	0.139520198242195
BA2962	0.0184571016582552	0.9808417812582988
BA2970	0.0105118961788031	0.5036399308703546
BA2972	0.0217393655371304	0.9798450408292048
BA2976	0.0060994953136265	0.6028620145065863
BA2978	0.0098107426099495	0.6113616111745246
BA2981	0.0137527036770007	0.1679182596041966
BA2984	0.0127253064167267	0.5840697582021659
BA2986	0.0124855803893294	0.8465536532599288
BA2989	0.018972602739726	0.9500910485998224
BA2992	0.0137328767123287	0.327181066405114
BA2993	0.0062509012256669	0.4829622388788064
BA2994	0.0163446286950252	0.629942327450257
BA2995	0.0128929343907714	0.9303756376583164
BA2999	0.0155875991348233	0.941904372844354
BA3001	0.0230966113914924	1.1297566183224013
BA3002	0.0170007209805335	1.0033366204646197
BA3004	0.0253803172314347	0.7720467828067623
