	ABL1	MSH2
BA2311	0.0107876712328767	0.0072544570502431
BA2312	0.009127613554434	0.0172479740680713
BA2316	0.0084282624369142	0.0154197730956239
BA2322	0.0178568853640951	0.0142009724473257
BA2325	0.0081506849315068	0.0050470016207455
BA2329	0.0087815428983417	0.0119448946515397
BA2334	0.0099639509733237	0.0086223662884927
BA2339	0.0048882480173035	0.0008946515397082
BA2344	0.0139077144917087	0.0411766612641815
BA2347	0.0055064888248017	0.0013322528363047
BA2348	0.0043727469358327	0.0015850891410048
BA2350	0.0045818312905551	0.0012965964343598
BA2354	0.0157534246575342	0.0406677471636953
BA2355	0.0216312184571016	0.0073938411669367
BA2357	0.0130569574621485	0.0129400324149108
BA2360	0.0196322999279019	0.0377277147487844
BA2361	0.0122873107426099	0.0082593192868719
BA2363	0.0046250901225666	0.0123176661264181
BA2369	0.0189221341023792	0.0092739059967585
BA2374	0.0208489545782263	0.0447163695299837
BA2375	0.0116131939437635	0.0262820097244732
BA2376	0.0086265320836337	0.0107293354943273
BA2377	0.0481254506128334	0.0067325769854132
BA2379	0.0132227829848594	0.0054003241491085
BA2385	0.0062310742609949	0.0054521880064829
BA2386	0.0189491708723864	0.0116466774716369
BA2387	0.0169881038211968	0.0262528363047001
BA2394	0.0097242249459264	0.0236596434359805
BA2399	0.0148125450612833	0.0241750405186385
BA2400	0.0313842826243691	0.0508816855753646
BA2402	0.0125630857966834	0.0215915721231766
BA2405	0.0074134823359769	0.0090145867098865
BA2406	0.0122512617159336	0.0130372771474878
BA2409	0.0120385724585436	0.0141199351701782
BA2410	0.0260958904109589	0.0104927066450567
BA2412	0.0044754866618601	0.0088816855753646
BA2413	0.0136788031723143	0.0159643435980551
BA2414	0.0243258832011535	0.0454327390599675
BA2415	0.0047260273972602	0.017546191247974
BA2417	0.0171773612112472	0.0035591572123176
BA2418	0.0077685652487382	0.0069497568881685
BA2420	0.0105136986301369	0.0242171799027552
BA2421	0.0181596971881759	0.011030794165316
BA2423	0.0107894736842105	0.003095623987034
BA2425	0.0087941600576784	0.0189043760129659
BA2426	0.0100558759913482	0.0085510534846029
BA2427	0.0086571737563085	0.0031474878444084
BA2429	0.0106452775775054	0.0226482982171799
BA2440	0.01405010814708	0.0278897893030794
BA2441	0.0184354722422494	0.0405510534846029
BA2442	0.0116095890410958	0.0325607779578606
BA2446	0.0115392934390771	0.0246645056726094
BA2449	0.0213698630136986	0.0171377633711507
BA2450	0.0162040374909877	0.0288006482982171
BA2452	0.0252541456380677	0.0375072933549432
BA2454	0.0121611391492429	0.0336790923824959
BA2455	0.0087148521989906	0.006320907617504
BA2456	0.0047837058399423	0.0017666126418152
BA2459	0.0067934390771449	0.0074035656401944
BA2461	0.0103262436914203	0.0206515397082658
BA2463	0.0140356885364095	0.0054748784440842
BA2464	0.0198936553713049	0.0267617504051863
BA2469	0.0165843547224224	0.0036855753646677
BA2470	0.0112599134823359	0.0184635332252836
BA2472	0.0163428262436914	0.0052803889789303
BA2473	0.0219412400865176	0.022739059967585
BA2474	0.0123521989906272	0.0218897893030794
BA2477	0.025086517664023	0.0703987034035656
BA2479	0.0077253064167267	0.0046223662884927
BA2480	0.023895097332372	0.0175105348460291
BA2481	0.0052072819033886	0.0092317666126418
BA2482	0.0118006488824801	0.0297115072933549
BA2483	0.0151604181687094	0.0292025931928687
BA2485	0.0216672674837779	0.0363468395461912
BA2488	0.0136697909156452	0.0264051863857374
BA2489	0.0131038211968276	0.0054781199351701
BA2492	0.007577505407354	0.0032512155591572
BA2494	0.0152487382840663	0.0081555915721231
BA2496	0.0059769286229271	0.0107455429497568
BA2497	0.0092682047584715	0.0171247974068071
BA2499	0.0128262436914203	0.01135170178282
BA2500	0.0246304974765681	0.0384602917341977
BA2501	0.0150558759913482	0.0391150729335494
BA2502	0.0097837058399423	0.0172025931928687
BA2505	0.0148648161499639	0.0123111831442463
BA2507	0.0108904109589041	0.0127617504051863
BA2510	0.016472602739726	0.0099611021069692
BA2511	0.0059480894015861	0.0034003241491085
BA2512	0.0125036049026676	0.0121782820097244
BA2514	0.0112743330930064	0.0112188006482982
BA2515	0.0118655371304974	0.0088816855753646
BA2520	0.0036265320836337	0.0107260940032414
BA2521	0.0162959625090122	0.0390437601296596
BA2523	0.0194394376351838	0.0377147487844408
BA2524	0.0125360490266762	0.0070988654781199
BA2525	0.0119700793078586	0.0043630470016207
BA2526	0.0263968997837058	0.0063987034035656
BA2528	0.0154992790194664	0.0301717990275526
BA2532	0.0165176640230713	0.011063209076175
BA2534	0.0232516222062004	0.0355721231766612
BA2538	0.012586517664023	0.0072382495948136
BA2539	0.0068961788031723	0.029805510534846
BA2540	0.0125937274693583	0.0055688816855753
BA2541	0.0059012256669069	0.0271572123176661
BA2545	0.0118186733958183	0.0323468395461912
BA2546	0.0096431146359048	0.0176142625607779
BA2552	0.0384967555875991	0.0205575364667747
BA2559	0.014059120403749	0.0111215559157212
BA2561	0.0080064888248017	0.0185380875202593
BA2563	0.0161067051189617	0.0438930307941653
BA2564	0.0097710886806056	0.0171896272285251
BA2567	0.0041636625811103	0.0039773095623987
BA2570	0.0145692141312184	0.0258411669367909
BA2575	0.0071935832732516	0.0117050243111831
BA2577	0.0213626532083633	0.0486191247974068
BA2579	0.0098648161499639	0.0230275526742301
BA2583	0.0164635904830569	0.0224343598055105
BA2584	0.0166005767844268	0.0231799027552674
BA2587	0.0186751982696467	0.0311734197730956
BA2588	0.0140032444124008	0.028191247974068
BA2589	0.0179704397981254	0.0041685575364667
BA2592	0.0183543619322278	0.0418606158833063
BA2593	0.0048125450612833	0.0049043760129659
BA2594	0.0085021629416005	0.0187423014586709
BA2595	0.0101045421773612	0.0065413290113452
BA2597	0.0188248017303532	0.0030696920583468
BA2600	0.011598774333093	0.0087844408427876
BA2603	0.0146557317952415	0.0394424635332252
BA2618	0.0207354001441961	0.0293387358184765
BA2619	0.0106759192501802	0.0243760129659643
