	ABL1	WRN
BA2776	0.0300306416726748	5.239988602455069
BA2778	0.0114708002883922	0.5595165147330017
BA2782	0.0080569574621485	1.4563941222032053
BA2786	0.0120547945205479	0.581509053887472
BA2787	0.0031254506128334	0.9471569438036178
BA2789	0.026472602739726	4.428246247876597
BA2791	0.0192880317231434	1.606382666144234
BA2792	0.0083723864455659	3.2276399849152035
BA2798	0.019176279740447	1.7055972580190226
BA2801	0.005706560922855	0.4241951025723444
BA2802	0.0085291997116077	2.755958357944761
BA2804	0.0094412400865176	1.2845730092104657
BA2806	0.0151315789473684	2.2859879665616925
BA2808	0.006452775775054	1.9005068623190189
BA2809	0.0128298485940879	2.925600255164329
BA2811	0.0167159336697909	2.0916114942780464
BA2812	0.006986301369863	0.8717017795917568
BA2813	0.0101748377793799	0.9475345970057044
BA2814	0.012141312184571	2.845261308930937
BA2816	0.0128983417447728	2.0609566373146437
BA2817	0.0133705839942321	3.3883568717382
BA2820	0.0195241528478731	1.2967648753187018
BA2821	0.0274477289113193	3.3084682385644397
BA2822	0.0146539293439077	5.400670636326549
BA2824	0.0203262436914203	3.105304919257565
BA2828	0.0093727469358327	0.8709549792549501
BA2829	0.0157137707281903	1.3149425795977732
BA2830	0.0076910598413842	1.5526723341400168
BA2832	0.0145367700072098	2.1511071820763523
BA2836	0.0119899062725306	1.7840411863480845
BA2837	0.0134246575342465	1.8888572481379464
BA2839	0.0310886806056236	1.7191613548037523
BA2840	0.0080533525594808	1.7670632791257468
BA2841	0.0249585436193222	5.585701976158166
BA2842	0.0069790915645277	0.4121448976700417
BA2843	0.0125991348233597	2.4609111185879198
BA2844	0.0165176640230713	3.047878100046377
BA2846	0.0267069214131218	2.8917971007289944
BA2850	0.0103568853640951	1.840548011266632
BA2851	0.0235832732516222	3.2458041447125083
BA2852	0.0104434030281182	2.08617781984928
BA2855	0.0142087238644556	2.0646708038878505
BA2856	0.0061751982696467	1.7390617854587327
BA2858	0.0095602018745493	2.1986898583189483
BA2860	0.0067519826964671	1.246973846769979
BA2861	0.0149585436193222	1.7999977617291891
BA2865	0.0138139870223503	2.3524929796252345
BA2866	0.0177505407354001	1.375082472011369
BA2867	0.0181416726748377	5.288720234212258
BA2868	0.022945205479452	1.749977666227832
BA2870	0.0288085796683489	2.596689023808284
BA2871	0.0117988464311463	1.6737414678619795
BA2872	0.011559120403749	1.8270908555965637
BA2876	0.0157948810382119	1.9365194976309443
BA2879	0.0138914924297043	2.6673751034468465
BA2880	0.0088518385003604	1.2451677525106266
BA2882	0.0111085075702956	0.7266978026089459
BA2883	0.0226189617880317	6.570734176032566
BA2885	0.0144754866618601	1.244614904270347
BA2887	0.0185832732516222	1.4234713409985853
BA2889	0.0001099495313626	0.0016060082296371
BA2893	0.0105371304974765	2.282487827702465
BA2901	0.0094160057678442	0.5969226838333641
BA2902	0.0132930785868781	2.645075623859797
BA2903	0.0040879596250901	0.1489454187336577
BA2904	0.0122098053352559	2.880380991620101
BA2905	0.0205587599134823	3.877604252474925
BA2906	0.0187761355443403	3.0304121795298338
BA2908	0.0214978370583994	3.099907218177853
BA2909	0.0079055515501081	1.909809373533439
BA2910	0.0172152126892573	1.5185965015713017
BA2911	0.0161535688536409	5.180067516549662
BA2914	0.0139798125450612	2.1342393744921235
BA2915	0.0079091564527757	2.695215891192012
BA2921	0.0102000720980533	1.511292193803552
BA2922	0.017528839221341	3.917624587786671
BA2923	0.0063229992790194	0.8205103527894391
BA2926	0.0152487382840663	3.5314819844028795
BA2928	0.0180551550108147	2.3626647782562915
BA2930	0.0134913482335976	0.9711768150350136
BA2932	0.0167591925018024	2.819500961801817
BA2934	0.0065338860850757	0.5747597354803984
BA2935	0.0084967555875991	1.5126817134148145
BA2937	0.0097638788752703	2.44295073913373
BA2939	0.0099242970439798	1.4729975478033746
BA2944	0.020232516222062	2.685375205193068
BA2947	0.0107516222062004	2.2218602987454563
BA2948	0.0091474405191059	1.1019492945290377
BA2950	0.0101117519826964	2.0466067748115067
BA2951	0.0080299206921413	1.5409386125554383
BA2952	0.0254001441961067	5.645932623083683
BA2953	0.0064059120403749	3.340359297061948
BA2955	0.0074098774333093	0.551755440949917
BA2956	0.0048413842826243	3.622855614518796
BA2962	0.0184571016582552	2.859264930653828
BA2970	0.0105118961788031	2.1092127460233856
BA2972	0.0217393655371304	2.34557409136274
BA2976	0.0060994953136265	1.4507581379310837
BA2978	0.0098107426099495	1.3603937387968936
BA2981	0.0137527036770007	1.6509212966525633
BA2984	0.0127253064167267	2.4611274735088084
BA2986	0.0124855803893294	2.6411843736600487
BA2989	0.018972602739726	4.367592386300985
BA2992	0.0137328767123287	1.5719769086120747
BA2993	0.0062509012256669	0.9996872253932648
BA2994	0.0163446286950252	1.419026797095066
BA2995	0.0128929343907714	2.551125703123132
BA2999	0.0155875991348233	2.92488631781478
BA3001	0.0230966113914924	4.203493658980027
BA3002	0.0170007209805335	2.2636421610334647
BA3004	0.0253803172314347	4.591642379417963
BA3006	0.0083777937995674	1.9054181789380809
BA3008	0.0010868781542898	0.4172810570661196
BA3009	0.0132912761355443	1.4749547294809089
BA3010	0.0096232876712328	0.6642753032046896
BA3011	0.0240374909877433	0.314403435665385
BA3013	0.0143240807498197	2.958590323765621
BA3023	0.0165969718817591	2.124534742695017
BA3025	0.0182480173035328	3.4279179644007383
BA3027	0.0054902667627974	0.949831116851098
BA3029	0.0092357606344628	2.8794209274377347
BA3030	0.0145746214852198	2.9266519683769574
BA3037	0.0189149242970439	1.2892864577175718
BA3038	0.0169196106705118	3.8008475921114018
BA3040	0.0160490266762797	2.811972342062097
BA3042	0.0222819033886085	2.6835459713095897
BA3043	0.0070421773612112	1.401027762089502
BA3049	0.0035255948089401	1.1672713415645024
BA3051	0.0110310021629416	1.039804223778721
BA3053	0.0164708002883922	3.113837674231265
BA3064	0.0178640951694304	2.126165558879592
BA3067	0.0239329488103821	2.316946970553241
BA3068	0.0234066330209084	2.2218450069464657
BA3070	0.0086355443403028	0.8548439252972088
BA3071	0.0194971160778659	3.639372936098999
BA3072	0.021346431146359	4.7412426248259445
BA3075	0.0129073540014419	1.8663499722874068
BA3076	0.0033759913482335	0.1626076098794439
BA3077	0.0144196106705118	1.648907049426839
BA2040	0.0086806056236481	1.9155130387332675
BA2160	0.0166672674837779	4.7776266682167625
BA2303	0.0109228550829127	1.3485047621424957
BA2353	0.0162563085796683	5.572473230173968
BA2516	0.0162851478010093	1.7060152188892723
BA2590	0.0327685652487382	3.596394240065104
BA2647	0.0120223503965392	1.7860223394402266
BA2891	0.009543979812545	0.3238893164164301
BA2924	0.0133219178082191	2.220024556034422
BA2971	0.0093204758471521	3.411496197987851
BA3036	0.0145259552992069	2.629162837151292
BA3059	0.015571377072819	1.170382668203024
BA3073	0.0136878154289834	2.404389565278721
BA3078	0.0171070656092285	6.964442073424048
