#Boxplots d'expressions du gène KRAS en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 2.856, p-value = 0.036
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA2646       NonMut        6.025373
   BA3407       NonMut        6.884307
   BA2240       NonMut        6.692479
   BA2926       NonMut        5.655227
   BA2272       NonMut        5.778842
   BA2306       NonMut        5.986654
   BA2765       NonMut        6.929599
   BA2904       NonMut        6.277385
   BA2883       NonMut        7.312124
   BA2234       NonMut        6.051521
   BA2022       NonMut        6.462346
   BA2228       NonMut        7.091190
   BA2037       NonMut        5.951938
   BA2184       NonMut        4.902195
   BA3009       NonMut        5.728296
   BA2842       NonMut        6.949458
   BA2442       NonMut        6.019561
   BA2882       NonMut        6.136398
   BA2758       NonMut        7.051324
   BA2705       NonMut        6.984837
   BA2663       NonMut        6.260755
   BA2570       NonMut        7.171168
   BA2764       NonMut        5.899190
   BA2209       NonMut        7.256965
   BA2989       NonMut        6.294106
   BA2855       NonMut        7.112888
   BA2261       NonMut        6.149754
   BA2721       NonMut        6.082782
   BA2930       NonMut        6.704230
   BA2728       NonMut        7.055705
   BA2715       NonMut        7.213780
   BA2469       NonMut        6.374046
   BA2269       NonMut        6.421395
   BA2098       NonMut        6.090874
   BA2778       NonMut        6.005993
   BA2951       NonMut        5.768371
   BA2163       NonMut        6.442757
   BA2379       NonMut        6.992443
   BA2817       NonMut        7.567846
   BA3153       NonMut        7.103074
   BA2820       NonMut        6.185908
   BA2723       NonMut        7.179997
   BA2704       NonMut        5.820387
   BA2088       NonMut        7.444440
   BA2116       NonMut        7.005651
   BA2584       NonMut        5.666248
   BA3079       NonMut        5.354852
   BA2417       NonMut        6.120973
   BA2361       NonMut        6.343221
   BA2450       NonMut        6.773604
   BA2492       NonMut        6.629526
   BA2552       NonMut        6.354893
   BA2472       NonMut        6.159214
   BA2994       NonMut        6.485119
   BA2047       NonMut        6.163915
   BA2101       NonMut        6.338264
   BA2082       NonMut        6.453001
   BA2879       NonMut        7.049189
   BA2577       NonMut        5.077996
   BA2456       NonMut        6.938272
   BA2175       NonMut        6.816298
   BA2824       NonMut        6.398787
   BA2507       NonMut        7.074052
   BA2563       NonMut        6.418506
   BA2244       NonMut        6.276485
   BA2470       NonMut        6.721831
   BA2984       NonMut        6.259453
   BA2414       NonMut        6.012543
   BA2697       NonMut        6.853359
   BA2079       NonMut        6.579740
   BA2999       NonMut        6.481688
   BA2644       NonMut        5.927146
   BA2011       NonMut        6.433356
   BA2217       NonMut        5.026541
   BA2454       NonMut        6.539386
   BA2776       NonMut        5.838797
   BA2218       NonMut        6.852068
   BA2135       NonMut        6.403142
   BA2500       NonMut        6.502488
   BA2830       NonMut        6.312516
   BA2406       NonMut        6.569903
   BA3108       NonMut        5.195926
   BA2924       NonMut        6.486061
   BA2303       NonMut        6.296941
   BA2160       NonMut        5.580470
   BA2040       NonMut        6.652957
   BA2590       NonMut        6.070587
   BA3195       NonMut        6.329155
   BA2516       NonMut        6.088794
   BA2353       NonMut        6.098089
   BA3036       NonMut        6.528363
   BA2971       NonMut        7.007829
   BA3410       NonMut        6.475718
   BA3118       NonMut        6.930217
   BA3206       NonMut        5.608775
   BA3202       NonMut        7.004906
   BA3217       NonMut        5.602320
   BA3405       NonMut        6.147180
   BA3306       NonMut        6.936922
   BA3371       NonMut        6.300988
   BA3413       NonMut        4.939975
   BA3411       NonMut        5.420897
   BA3133       NonMut        6.374544
   BA3164       NonMut        7.223796
   BA3286       NonMut        5.888796
   BA3212       NonMut        6.236642
   BA3103       NonMut        6.172970
   BA3271       NonMut        6.257181
   BA3152       NonMut        6.076539
   BA3095       NonMut        5.895211
   BA3192       NonMut        6.344577
   BA3251       NonMut        6.155659
   BA3362       NonMut        6.238434
   BA3400       NonMut        7.342780
   BA3135       NonMut        6.867724
   BA3408       NonMut        6.874662
