#Résultats bruts de l'abondance de mutation du gène TET2 selon la feature consensus_sex, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.016850 avec le test Mann-Whitney U
 Abundance   TotalKmers  NormalizedExpression consensus_sex
 37.344828 6.065394e+09              6.157032          Male
 65.517241 6.529792e+09             10.033587        Female
 28.965517 6.449494e+09              4.491130          Male
 45.965517 9.114826e+09              5.042940          Male
 12.827586 8.305371e+09              1.544493          Male
 32.275862 8.437597e+09              3.825243          Male
 10.689655 7.050319e+09              1.516195        Female
 14.965517 7.766620e+09              1.926902        Female
 86.482759 9.771467e+09              8.850540        Female
 26.724138 8.851492e+09              3.019168          Male
 50.206897 8.514264e+09              5.896798        Female
 37.413793 9.216849e+09              4.059283        Female
 39.034483 9.259345e+09              4.215685          Male
 44.896552 9.138029e+09              4.913155          Male
 24.448276 8.764152e+09              2.789577        Female
 57.724138 8.484674e+09              6.803342        Female
 87.896552 1.293085e+10              6.797432          Male
 80.620690 7.536666e+09             10.697129          Male
 46.206897 1.240522e+10              3.724795          Male
 37.413793 9.686832e+09              3.862335        Female
 33.689655 7.679781e+09              4.386799          Male
 56.793103 1.143178e+10              4.968001        Female
 47.413793 9.072297e+09              5.226217        Female
 31.620690 9.216000e+09              3.431064        Female
 17.103448 9.273773e+09              1.844282        Female
 23.689655 8.673760e+09              2.731186        Female
 44.413793 1.255232e+10              3.538295          Male
 34.206897 8.683805e+09              3.939160        Female
 59.551724 1.081995e+10              5.503883        Female
 13.896552 9.263615e+09              1.500122          Male
 81.896552 9.036584e+09              9.062778          Male
 55.724138 8.504459e+09              6.552343          Male
 10.689655 8.084013e+09              1.322320          Male
 64.344828 8.449282e+09              7.615419          Male
 82.551724 1.298227e+10              6.358804          Male
 33.137931 1.312078e+10              2.525606          Male
 49.275862 1.126770e+10              4.373194          Male
 43.241379 8.414149e+09              5.139127          Male
 59.931034 8.684668e+09              6.900786        Female
 23.000000 9.394752e+09              2.448175        Female
 33.137931 7.963119e+09              4.161426          Male
 90.000000 8.331035e+09             10.802979          Male
 94.758621 6.552646e+09             14.461122          Male
 24.620690 7.659302e+09              3.214482        Female
 16.034483 8.755676e+09              1.831324          Male
 56.137931 7.396633e+09              7.589660          Male
 60.931034 1.219810e+10              4.995124          Male
 38.172414 8.947256e+09              4.266382          Male
 68.689655 7.815739e+09              8.788633        Female
 21.379310 1.179849e+10              1.812037          Male
 55.758621 1.050290e+10              5.308877          Male
 39.103448 9.689104e+09              4.035817          Male
 11.758621 1.104851e+10              1.064272          Male
 40.000000 7.673257e+09              5.212910          Male
 66.379310 1.233472e+10              5.381503          Male
 78.206897 8.634398e+09              9.057597        Female
 14.655172 9.370573e+09              1.563957          Male
 47.724138 9.269706e+09              5.148398        Female
 31.379310 7.852002e+09              3.996345        Female
 46.586207 8.025251e+09              5.804953        Female
 19.103448 8.260289e+09              2.312685        Female
 30.724138 9.361311e+09              3.282034          Male
146.137931 1.137375e+10             12.848705          Male
 54.344828 1.286380e+10              4.224632          Male
 64.931034 8.628494e+09              7.525187        Female
 82.724138 1.260141e+10              6.564674          Male
 40.551724 8.115899e+09              4.996578        Female
 81.620690 7.421624e+09             10.997686        Female
 30.965517 8.000378e+09              3.870507          Male
 36.758621 1.088828e+10              3.375982        Female
 43.862069 8.168213e+09              5.369849          Male
 15.310345 8.929424e+09              1.714595          Male
 21.379310 9.354307e+09              2.285504        Female
 30.068966 7.789919e+09              3.859984        Female
 53.448276 1.108694e+10              4.820832          Male
110.137931 1.153613e+10              9.547221        Female
 48.103448 1.285208e+10              3.742854          Male
138.482759 1.195007e+10             11.588451        Female
117.068966 1.296097e+10              9.032422        Female
 23.517241 8.901402e+09              2.641971          Male
 36.931034 1.199207e+10              3.079622          Male
 52.103448 6.844100e+09              7.612900          Male
 83.448276 1.208175e+10              6.906969        Female
191.862069 1.150666e+10             16.674004          Male
 44.896552 1.333923e+10              3.365753          Male
 36.344828 8.243534e+09              4.408889          Male
