#Boxplots d'expressions du gène SRSF2 en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 4.155, p-value = 0.00248
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA3431       NonMut        8.425600
   BA3341       NonMut        8.964586
   BA3191       NonMut        8.778046
   BA3197       NonMut        9.163984
   BA3448       NonMut        9.382342
   BA3453       NonMut        9.125868
   BA3406       NonMut        9.821335
   BA3186       NonMut        9.402410
   BA3447       NonMut        9.520364
   BA3116       NonMut        8.974853
   BA3280       NonMut        9.539699
   BA3094       NonMut        8.669716
   BA3318       NonMut        8.425600
   BA3216       NonMut        9.409015
   BA3332       NonMut        9.418005
   BA3214       NonMut        9.256912
   BA3099       NonMut        9.404539
   BA3141       NonMut        9.395624
   BA3373       NonMut        9.321759
   BA3319       NonMut        8.430380
   BA3328       NonMut        9.288128
   BA3339       NonMut        9.732409
   BA3240       NonMut        9.081273
   BA3142       NonMut        9.440702
   BA3381       NonMut        8.748006
   BA3296       NonMut        8.887974
   BA3434       NonMut        9.275693
   BA3189       NonMut        9.088622
   BA3264       NonMut        9.554357
   BA3417       NonMut        9.234915
   BA3367       NonMut        8.604363
   BA3225       NonMut        8.116661
   BA3183       NonMut        9.041439
   BA3222       NonMut        9.084943
   BA3139       NonMut        8.886536
   BA3397       NonMut        9.645280
   BA3311       NonMut        8.079712
   BA3422       NonMut       10.088866
   BA3228       NonMut        8.683913
   BA3213       NonMut        9.263352
   BA3270       NonMut        8.871794
   BA3415       NonMut        9.347447
   BA3324       NonMut        8.852593
   BA3194       NonMut        9.682114
   BA3335       NonMut        9.968225
   BA3326       NonMut        9.275693
   BA3285       NonMut        8.723294
   BA3297       NonMut        9.092308
   BA3227       NonMut        9.114605
   BA3394       NonMut        8.650061
   BA3412       NonMut        8.937521
   BA3293       NonMut        9.442391
   BA3250       NonMut        9.218884
   BA3177       NonMut        9.477697
   BA3315       NonMut        8.961178
   BA3182       NonMut        8.917518
   BA3369       NonMut        9.247042
   BA3078       NonMut        9.204757
   BA3386       NonMut        9.719842
   BA3445       NonMut        9.400075
   BA3176       NonMut        9.292294
   BA3258       NonMut        8.644493
   BA3295       NonMut        8.768973
   BA3283       NonMut        9.473026
   BA3390       NonMut        8.499085
   BA3136       NonMut        9.052206
   BA3087       NonMut        9.379643
   BA3454       NonMut        9.160132
   BA3302       NonMut        9.391184
   BA3117       NonMut        9.446968
   BA3083       NonMut        8.907609
   BA3266       NonMut        9.218884
   BA3175       NonMut        8.358115
   BA3268       NonMut        9.283973
   BA3229       NonMut        8.704016
   BA3353       NonMut        9.786750
   BA3312       NonMut        9.203009
   BA3119       NonMut        9.356100
   BA3138       NonMut        9.045020
   BA3219       NonMut        8.447241
   BA3388       NonMut        8.881482
   BA3357       NonMut        9.366509
   BA3351       NonMut        9.544570
   BA3208       NonMut        9.655715
   BA3200       NonMut        9.187287
   BA3325       NonMut        9.163984
   BA3146       NonMut        9.156289
   BA3211       NonMut        9.110867
   BA3130       NonMut        7.516301
   BA3376       NonMut        9.321759
   BA3137       NonMut        9.063046
   BA3300       NonMut        9.242422
   BA3375       NonMut        9.391184
   BA3249       NonMut        8.889785
   BA3385       NonMut        8.954383
   BA3242       NonMut        9.125868
   BA3446       NonMut        9.081273
   BA3416       NonMut        9.226880
