#Résultats bruts de l'abondance de mutation du gène TP53 selon la feature priorMDS, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.002576 avec le test Mann-Whitney
 Abundance   TotalKmers  NormalizedExpression priorMDS
 18.172414 1.106665e+10              1.642088        n
 19.310345 8.305332e+09              2.325054        n
116.068966 9.900148e+09             11.723962        y
103.620690 8.843945e+09             11.716569        n
171.241379 1.222447e+10             14.008084        n
 88.689655 6.721034e+09             13.195835        n
453.310345 1.269887e+10             35.696915        n
314.551724 1.233934e+10             25.491771        n
391.068966 8.923147e+09             43.826350        n
375.034483 1.264142e+10             29.667123        n
539.482759 1.185453e+10             45.508568        y
189.965517 5.072799e+09             37.447871        n
185.655172 6.363310e+09             29.175879        n
351.103448 9.067227e+09             38.722250        n
366.655172 9.820734e+09             37.334802        n
160.896552 1.249729e+10             12.874515        n
402.172414 7.614978e+09             52.813336        n
252.620690 8.005594e+09             31.555521        n
414.137931 1.231039e+10             33.641328        n
389.241379 9.354164e+09             41.611561        n
205.655172 8.833061e+09             23.282436        n
 47.137931 9.221331e+09              5.111836        y
343.000000 1.102149e+10             31.121018        y
329.517241 1.285754e+10             25.628321        n
354.241379 8.908070e+09             39.766345        n
 23.517241 1.215164e+10              1.935314        n
465.172414 8.157287e+09             57.025385        n
 28.862069 7.402556e+09              3.898933        n
179.551724 1.072766e+10             16.737261        n
 40.206897 5.793404e+09              6.940117        n
 17.103448 7.661637e+09              2.232349        n
 60.137931 8.738210e+09              6.882180        n
261.310345 1.071934e+10             24.377463        y
211.758621 9.495128e+09             22.301818        n
152.965517 8.403008e+09             18.203661        n
284.758621 9.745327e+09             29.220016        n
 22.068966 4.579619e+09              4.818952        n
343.965517 7.774889e+09             44.240570        n
311.931034 7.373008e+09             42.307160        y
 26.620690 9.835948e+09              2.706469        n
133.586207 9.101451e+09             14.677463        n
 54.517241 7.489154e+09              7.279493        n
612.965517 1.259415e+10             48.670671        n
