	RUNX1	NF1
BA2891	0.2015933580651004	137.26092975764416
BA3203	0.2021318292718289	88.63157011379647
BA2746	0.202555877357812	83.86915751314284
BA3347	0.2043961250789596	107.25679887057174
BA2301	0.204491862129929	102.8235989089254
BA2953	0.2051085762725941	72.6736446430472
BA2852	0.2052239172681841	63.33031704535766
BA2220	0.2055369775121894	105.89447496974996
BA2316	0.2056545504439652	78.52938685382075
BA3190	0.2063588954909127	154.0637929559441
BA2937	0.2074914069173383	92.81814116327772
BA2162	0.2075276098890612	147.29495642603302
BA2473	0.209053338665106	135.90179155823498
BA2505	0.2094139462086697	175.77268062103064
BA3362	0.2094729196922687	66.30559672126034
BA2514	0.210449138711381	136.22047089526455
BA2385	0.2109104617600196	47.80464009196283
BA2621	0.2111757237127263	163.23017498489295
BA2619	0.2124341005088592	65.80756208405029
BA3011	0.2126042244190821	125.40261175284284
BA3175	0.2132253898402153	134.1322865400523
BA2272	0.2135859516736474	155.30969220772613
BA2545	0.2141247465641089	93.36255824417232
BA2296	0.2148106637106862	124.91800887503584
BA3235	0.2153840453952324	97.5061808076502
BA3042	0.2158528763498654	161.0984766462048
BA3123	0.2201591236153108	137.12699462957363
BA3084	0.2210528590812508	122.53649006969673
BA2148	0.2213584146383362	89.68429975044664
BA3416	0.2221459302117749	264.47263050967763
BA3431	0.2236180365190641	120.84144657847006
BA2772	0.2248489260951291	119.91695093878694
BA3371	0.226349875713049	161.37983110943483
BA2926	0.2264094324360189	161.0086066472505
BA2718	0.2264120593094975	139.00641014037672
BA2855	0.2271299869237621	71.99266493479804
BA2947	0.2272981186082784	28.704400954899704
BA2712	0.2277428684882624	121.8668429618196
BA3351	0.2277844883078007	183.84015117269627
BA3214	0.2287101010877497	104.5490566409768
BA2303	0.2287134621672144	140.43353398736284
BA2935	0.2287418252851064	121.30769117899668
BA2769	0.2290155805800641	139.97004102912095
BA3413	0.23006633904582	115.6071633334826
BA2461	0.2305325169346563	85.85159772017813
BA2709	0.2309063298062662	89.34929908737492
BA3167	0.2309347291028571	56.156964704662514
