	ABL1	ASXL1
BA2240	0.0207876712328767	0.0145414411848476
BA2242	0.0155587599134823	0.0164782113358017
BA2244	0.0166348233597692	0.0085103958986043
BA2245	0.0197404470079307	0.0136855596696097
BA2248	0.00905010814708	0.0078894901737396
BA2249	0.012557678442682	0.0124565650811734
BA2251	0.0230894015861571	0.0152862432355454
BA2256	0.0136391492429704	0.0102748504699515
BA2260	0.0076297764960346	0.0071646254628311
BA2261	0.0063482335976928	0.0069908857875249
BA2269	0.006685291997116	0.0044189689547137
BA2271	0.0136319394376351	0.0125078325263457
BA2272	0.01	0.0087510680717744
BA2273	0.0184607065609228	0.0123583024779265
BA2275	0.0184697188175919	0.0150213614354884
BA2276	0.0092519826964671	0.0077456565081173
BA2277	0.0193421052631578	0.0151538023355169
BA2280	0.0273449891852919	0.0184804898889205
BA2281	0.0179271809661139	0.0149344915978353
BA2282	0.0063031723143475	0.0109228140131016
BA2286	0.0208507570295602	0.0129222443748219
BA2288	0.0124134823359769	0.0143021931073768
BA2292	0.0175486661860129	0.0130062660210766
BA2294	0.0140573179524152	0.0133266875534035
BA2296	0.0239365537130497	0.0134619766448305
BA2300	0.0072584715212689	0.0150939903161492
BA2301	0.0100739005046863	0.01061093705497
BA2302	0.0157948810382119	0.0144018798063229
BA2304	0.0063734679163662	0.0059085730561093
BA2306	0.0136121124729632	0.0105781828538877
BA2308	0.0117321557317952	0.011812873825121
BA2309	0.0130984138428262	0.01024067217317
BA2311	0.0107876712328767	0.009636855596696
BA2312	0.009127613554434	0.010764739390487
BA2316	0.0084282624369142	0.0073454856166334
BA2322	0.0178568853640951	0.0096667616063799
BA2325	0.0081506849315068	0.0066348618627171
BA2329	0.0087815428983417	0.0078880660780404
BA2334	0.0099639509733237	0.0094502990600968
BA2339	0.0048882480173035	0.0084092851039589
BA2344	0.0139077144917087	0.0075662204500142
BA2347	0.0055064888248017	0.0075761891199088
BA2348	0.0043727469358327	0.0044189689547137
BA2350	0.0045818312905551	0.0061093705497009
BA2354	0.0157534246575342	0.0131458273996012
BA2355	0.0216312184571016	0.0216377100541156
BA2357	0.0130569574621485	0.0119923098832241
BA2360	0.0196322999279019	0.0113386499572771
BA2361	0.0122873107426099	0.0131045286243235
BA2363	0.0046250901225666	0.0040358872116206
BA2369	0.0189221341023792	0.0142324124181144
BA2374	0.0208489545782263	0.0170692110509826
BA2375	0.0116131939437635	0.0129250925662204
BA2376	0.0086265320836337	0.0084548561663343
BA2377	0.0481254506128334	0.0234363429222443
BA2379	0.0132227829848594	0.0120919965821703
BA2385	0.0062310742609949	0.008366562232982
BA2386	0.0189491708723864	0.014605525491313
BA2387	0.0169881038211968	0.0094346340074052
BA2394	0.0097242249459264	0.0191953859299344
BA2399	0.0148125450612833	0.009044431785816
BA2400	0.0313842826243691	0.0215778980347479
BA2402	0.0125630857966834	0.0121660495585303
BA2405	0.0074134823359769	0.0093392195955568
BA2406	0.0122512617159336	0.0085773283964682
BA2409	0.0120385724585436	0.0084520079749359
BA2410	0.0260958904109589	0.016473939048704
BA2412	0.0044754866618601	0.0076117915123896
