#Boxplots d'expressions du gène CEBPA en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 214.268, p-value = 0.00000
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA2723       NonMut        0.001009
   BA2724       NonMut        0.013760
   BA2726       NonMut        0.014042
   BA2727       NonMut        0.008155
   BA2728       NonMut        0.015273
   BA2731       NonMut        0.036041
   BA2733       NonMut        0.014465
   BA2735       NonMut        0.011291
   BA2737       NonMut        0.056562
   BA2742       NonMut        0.017301
   BA2744       NonMut        0.037873
   BA2746       NonMut        0.022197
   BA2747       NonMut        0.035676
   BA2751       NonMut        0.013977
   BA2756       NonMut        0.016978
   BA2758       NonMut        0.011914
   BA2760       NonMut        0.011745
   BA2762       NonMut        0.012200
   BA2764       NonMut        0.008331
   BA2765       NonMut        0.013860
   BA2769       NonMut        0.010816
   BA2772       NonMut        0.030161
   BA2775       NonMut        0.031885
   BA2776       NonMut        0.049691
   BA2778       NonMut        0.016925
   BA2782       NonMut        0.018166
   BA2786       NonMut        0.014981
   BA2787       NonMut        0.011663
   BA2789       NonMut        0.055506
   BA2791       NonMut        0.025974
   BA2792       NonMut        0.013059
   BA2798       NonMut        0.015979
   BA2801       NonMut        0.005568
   BA2802       NonMut        0.004948
   BA2804       NonMut        0.046529
   BA2806       NonMut        0.038549
   BA2808       NonMut        0.024838
   BA2809       NonMut        0.011542
   BA2811       NonMut        0.030871
   BA2812       NonMut        0.016760
   BA2813       NonMut        0.020907
   BA2814       NonMut        0.040036
   BA2816       NonMut        0.008145
   BA2817       NonMut        0.001693
   BA2820       NonMut        0.020142
   BA2821       NonMut        0.016513
   BA2822       NonMut        0.017320
   BA2824       NonMut        0.024715
   BA2828       NonMut        0.009521
   BA2829       NonMut        0.019515
   BA2830       NonMut        0.005742
   BA2832       NonMut        0.021136
   BA2836       NonMut        0.038045
   BA2837       NonMut        0.007796
   BA2839       NonMut        0.047104
   BA2840       NonMut        0.000071
   BA2841       NonMut        0.041431
   BA2842       NonMut        0.007623
   BA2843       NonMut        0.001446
   BA2846       NonMut        0.052586
   BA2850       NonMut        0.015298
   BA2851       NonMut        0.008900
   BA2852       NonMut        0.005164
   BA2855       NonMut        0.007101
   BA2856       NonMut        0.010071
   BA2858       NonMut        0.010291
   BA2860       NonMut        0.017292
   BA2861       NonMut        0.076321
   BA2865       NonMut        0.039175
   BA2866       NonMut        0.017061
   BA2867       NonMut        0.030258
   BA2870       NonMut        0.034057
   BA2871       NonMut        0.008915
   BA2872       NonMut        0.012910
   BA2876       NonMut        0.011097
   BA2879       NonMut        0.015000
   BA2880       NonMut        0.012154
   BA2882       NonMut        0.024521
   BA2883       NonMut        0.009865
   BA2885       NonMut        0.028427
   BA2887       NonMut        0.021983
   BA2889       NonMut        0.000250
   BA2893       NonMut        0.042132
   BA2901       NonMut        0.022180
   BA2902       NonMut        0.026082
   BA2903       NonMut        0.004722
   BA2904       NonMut        0.015881
   BA2905       NonMut        0.026131
   BA2906       NonMut        0.011636
   BA2908       NonMut        0.019255
   BA2909       NonMut        0.009541
   BA2910       NonMut        0.011747
   BA2911       NonMut        0.030180
   BA2914       NonMut        0.019023
   BA2921       NonMut        0.021687
   BA2922       NonMut        0.025928
   BA2923       NonMut        0.044563
   BA2926       NonMut        0.019102
   BA2928       NonMut        0.039218
   BA2930       NonMut        0.012886
   BA2932       NonMut        0.023564
   BA2934       NonMut        0.003151
