#Résultats bruts de l'abondance de mutation du gène FLT3 selon la feature isDenovo, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.000345 avec le test Mann-Whitney U
  Abundance   TotalKmers  NormalizedExpression isDenovo
 449.206897 8.138126e+09             55.197832     TRUE
 231.620690 6.486987e+09             35.705436     TRUE
  85.344828 5.589964e+09             15.267509    FALSE
  11.586207 8.651741e+09              1.339176    FALSE
 204.724138 8.378561e+09             24.434284     TRUE
  42.620690 8.489813e+09              5.020215    FALSE
  51.965517 7.270150e+09              7.147792    FALSE
  56.517241 5.867656e+09              9.631997    FALSE
 107.758621 8.592370e+09             12.541199    FALSE
 230.379310 7.345463e+09             31.363486     TRUE
 208.206897 6.702371e+09             31.064661     TRUE
 220.793103 7.449994e+09             29.636683     TRUE
 321.655172 7.811765e+09             41.175737    FALSE
 460.344828 9.500869e+09             48.452918    FALSE
  96.896552 7.312465e+09             13.250874    FALSE
 339.206897 7.839564e+09             43.268591    FALSE
 252.931034 6.410103e+09             39.458183     TRUE
  67.689655 8.100468e+09              8.356265    FALSE
  35.758621 8.749519e+09              4.086924    FALSE
 112.965517 9.025790e+09             12.515859    FALSE
 346.448276 1.031387e+10             33.590522     TRUE
  24.206897 4.948445e+09              4.891819    FALSE
 185.965517 6.255084e+09             29.730297     TRUE
  54.379310 9.119252e+09              5.963133     TRUE
  33.931034 7.110504e+09              4.771959    FALSE
  60.241379 9.386605e+09              6.417803    FALSE
  10.862069 8.448480e+09              1.285683    FALSE
  61.068966 8.752928e+09              6.976976    FALSE
 441.551724 8.579029e+09             51.468729    FALSE
 167.586207 6.882652e+09             24.349076     TRUE
  58.827586 4.804985e+09             12.243032    FALSE
 174.275862 6.623609e+09             26.311316    FALSE
 137.862069 6.033548e+09             22.849252     TRUE
 583.586207 8.854002e+09             65.912141    FALSE
 216.793103 7.200585e+09             30.107708    FALSE
 203.172414 5.917689e+09             34.333068    FALSE
 405.896552 6.436533e+09             63.061360     TRUE
 157.310345 9.990793e+09             15.745531    FALSE
 437.068966 7.345157e+09             59.504373     TRUE
  33.103448 6.145850e+09              5.386310    FALSE
 274.724138 1.152272e+10             23.841956     TRUE
 858.586207 1.291642e+10             66.472467    FALSE
  82.517241 4.938896e+09             16.707630     TRUE
  67.206897 7.894510e+09              8.513118    FALSE
  81.862069 8.134305e+09             10.063806    FALSE
 348.310345 8.074296e+09             43.138167    FALSE
 120.586207 5.990351e+09             20.130073    FALSE
 334.103448 7.873301e+09             42.434990    FALSE
 253.206897 7.843750e+09             32.281357     TRUE
 271.551724 8.821732e+09             30.782132    FALSE
 172.896552 8.850037e+09             19.536251     TRUE
 355.034483 7.882991e+09             45.038040     TRUE
  77.689655 6.346827e+09             12.240707     TRUE
  83.310345 6.065940e+09             13.734120    FALSE
  86.551724 1.124931e+10              7.693958     TRUE
 177.482759 8.097573e+09             21.918020    FALSE
  20.689655 6.449494e+09              3.207950    FALSE
  98.758621 7.888831e+09             12.518790    FALSE
 709.689655 9.253249e+09             76.696270    FALSE
1016.068966 8.542809e+09            118.938506    FALSE
 606.482759 8.605161e+09             70.478954    FALSE
 576.931034 9.259345e+09             62.307976    FALSE
 578.517241 9.138029e+09             63.308754     TRUE
 546.793103 8.764152e+09             62.389734    FALSE
 472.827586 9.603534e+09             49.234749    FALSE
  47.379310 9.208330e+09              5.145266    FALSE
 264.862069 8.980720e+09             29.492297    FALSE
 457.068966 8.865050e+09             51.558534     TRUE
1558.620690 1.352301e+10            115.256908     TRUE
 432.896552 7.679781e+09             56.368345     TRUE
 187.827586 9.072297e+09             20.703422     TRUE
  62.344828 9.216000e+09              6.764847    FALSE
 117.275862 9.273773e+09             12.645971    FALSE
 125.551724 8.673760e+09             14.474891     TRUE
 232.827586 1.255232e+10             18.548576     TRUE
  86.068966 8.683805e+09              9.911435     TRUE
 308.379310 9.263615e+09             33.289304    FALSE
 134.172414 8.504459e+09             15.776713    FALSE
 511.241379 8.084013e+09             63.241041     TRUE
 153.931034 8.449282e+09             18.218238     TRUE
  28.551724 1.312078e+10              2.176069    FALSE
 697.413793 8.264259e+09             84.389155    FALSE
  68.413793 8.684668e+09              7.877537     TRUE
 285.344828 9.697777e+09             29.423736     TRUE
  19.103448 1.186580e+10              1.609959     TRUE
  99.965517 9.394752e+09             10.640570    FALSE
 197.206897 7.963119e+09             24.765032    FALSE
 114.862069 8.331035e+09             13.787250     TRUE
 139.275862 6.552646e+09             21.254903     TRUE
 118.448276 7.659302e+09             15.464631    FALSE
 143.103448 9.406260e+09             15.213640     TRUE
 742.517241 9.625212e+09             77.142950    FALSE
  83.758621 8.755676e+09              9.566208    FALSE
 375.310345 1.028094e+10             36.505448     TRUE
 583.413793 1.219810e+10             47.828245     TRUE
 270.206897 7.166337e+09             37.705024     TRUE
 144.620690 1.194717e+10             12.105018     TRUE
 162.068966 1.050290e+10             15.430873    FALSE
  71.517241 7.673257e+09              9.320324     TRUE
 543.482759 9.318384e+09             58.323715    FALSE
 499.482759 8.634398e+09             57.848013     TRUE
  60.724138 9.691247e+09              6.265875    FALSE
 130.172414 9.370573e+09             13.891617     TRUE
  41.206897 9.269706e+09              4.445329     TRUE
 349.620690 1.270211e+10             27.524619    FALSE
 587.551724 8.260289e+09             71.129684     TRUE
1062.241379 9.361311e+09            113.471436     TRUE
  19.862069 9.148745e+09              2.171016    FALSE
 412.620690 7.759275e+09             53.177736    FALSE
 617.517241 8.628494e+09             71.567209     TRUE
 119.724138 8.115899e+09             14.751802     TRUE
 211.586207 8.168213e+09             25.903612    FALSE
 360.344828 1.108694e+10             32.501739     TRUE
  10.758621 1.285208e+10              0.837111    FALSE
 650.724138 1.140540e+10             57.054016     TRUE
 621.965517 1.195007e+10             52.047036     TRUE
 239.103448 1.239749e+10             19.286441     TRUE
 240.344828 9.623216e+09             24.975521     TRUE
 129.931034 1.296097e+10             10.024791     TRUE
 233.206897 1.120228e+10             20.817802     TRUE
 347.482759 8.901402e+09             39.036858     TRUE
 312.206897 8.063055e+09             38.720672     TRUE
  26.896552 1.199207e+10              2.242862    FALSE
 360.482759 9.427317e+09             38.238106     TRUE
 955.965517 1.150527e+10             83.089328     TRUE
 197.517241 9.476463e+09             20.842928     TRUE
  75.034483 8.147961e+09              9.208989     TRUE
 837.000000 1.333923e+10             62.747255     TRUE
 187.758621 9.840911e+09             19.079394     TRUE
 786.862069 8.243534e+09             95.452033    FALSE
 978.862069 8.566528e+09            114.265906     TRUE
  57.241379 1.134920e+10              5.043649     TRUE
 219.931034 9.651607e+09             22.786987     TRUE
 311.931034 1.117844e+10             27.904691     TRUE
 322.931034 1.130116e+10             28.575038     TRUE
 279.275862 1.087497e+10             25.680609    FALSE
1301.551724 1.344911e+10             96.776042    FALSE
 306.241379 1.106665e+10             27.672460     TRUE
  43.931034 8.305332e+09              5.289498     TRUE
 198.931034 1.222447e+10             16.273185     TRUE
 192.000000 1.233934e+10             15.559985     TRUE
 735.068966 9.067227e+09             81.068769     TRUE
 144.206897 1.249729e+10             11.539053     TRUE
  81.724138 6.763000e+09             12.084007    FALSE
 405.724138 9.754595e+09             41.593130    FALSE
  13.241379 9.221331e+09              1.435951    FALSE
 860.137931 9.109860e+09             94.418347     TRUE
  98.620690 1.102149e+10              8.948036    FALSE
2049.310345 1.285754e+10            159.385846    FALSE
 148.551724 8.908070e+09             16.676084     TRUE
 804.310345 1.215164e+10             66.189454     TRUE
  54.000000 9.253961e+09              5.835339    FALSE
  54.068966 7.402556e+09              7.304094     TRUE
 248.689655 1.246479e+10             19.951372     TRUE
 679.482759 8.167038e+09             83.198190    FALSE
  55.448276 1.072766e+10              5.168718     TRUE
  49.034483 7.661637e+09              6.400001     TRUE
 211.448276 8.738210e+09             24.198122     TRUE
 459.827586 9.495128e+09             48.427739     TRUE
 257.137931 4.579619e+09             56.148319     TRUE
 227.275862 9.101451e+09             24.971389     TRUE
 398.241379 1.150906e+10             34.602426    FALSE
 154.034483 7.489154e+09             20.567675     TRUE
