ID_sample	TypeMutation	ExpressionGene
BA2446	NonMut	2.31812232252383
BA2525	NonMut	5.24865361107735
BA2876	NonMut	5.79758031043752
BA2357	NonMut	5.50571962151203
BA2546	NonMut	3.0112376490771
BA2742	NonMut	3.66797907398221
BA2316	NonMut	3.22495437973645
BA2421	NonMut	2.45065051871032
BA2087	NonMut	2.55585093682386
BA2148	NonMut	8.16059641320183
BA2063	NonMut	3.02935460711532
BA2329	NonMut	7.2245944685398
BA3178	NonMut	-0.106092733460167
BA2072	NonMut	5.14543140849029
BA3029	NonMut	8.92748837970555
BA2733	NonMut	5.32125964978542
BA2995	NonMut	1.87147539953468
BA2069	NonMut	1.06756511195893
BA2100	NonMut	6.69027313849037
BA2681	NonMut	7.58759859001841
BA2248	NonMut	6.88553914900191
BA2832	NonMut	8.69249597847146
BA2677	NonMut	7.25790347094091
BA2937	NonMut	8.40664550150058
BA2600	NonMut	6.59949061589029
BA2019	NonMut	9.64527993925034
BA2412	NonMut	6.57041549701901
BA2334	NonMut	7.64511152399424
BA2050	NonMut	7.30591810989836
BA3230	NonMut	7.22951525991334
BA2953	NonMut	5.74281190993701
BA2481	NonMut	6.26652649814407
BA2294	NonMut	7.90950778255697
BA2418	NonMut	7.77713213848426
BA2816	NonMut	1.63244056607344
BA2631	NonMut	8.0760787079227
BA2023	NonMut	-0.126036792393191
BA2375	NonMut	7.68273154484305
BA2485	NonMut	9.30657970599922
BA2455	NonMut	4.2507446186302
BA2025	NonMut	2.32043052645812
BA2325	NonMut	4.5269559134182
BA2169	NonMut	7.0623479587219
BA2168	NonMut	7.27636680044251
BA2871	NonMut	3.03505636097059
BA2655	NonMut	5.94796425199258
BA2227	NonMut	7.50002964161751
BA2125	NonMut	6.27380663380772
BA2523	NonMut	6.52219766315803
BA2603	NonMut	7.93187727167438
BA2808	NonMut	8.47415784691615
BA2282	NonMut	2.39603844730184
BA2482	NonMut	8.45696872743274
BA2812	NonMut	2.68530372380301
BA2822	NonMut	6.10829331712153
BA2594	NonMut	4.34871319583887
BA2561	NonMut	0.106733079748621
BA2567	NonMut	3.87651804611081
BA2906	NonMut	2.27825644198579
BA2956	NonMut	3.23073632692797
BA2474	NonMut	8.0044307958278
BA2737	NonMut	0.583388534420479
BA2110	NonMut	4.92630002359127
BA2992	NonMut	3.78491798790536
BA2935	NonMut	6.05993013058661
BA2260	NonMut	4.49346190383121
BA2948	NonMut	8.35358316301659
BA2524	NonMut	4.83023871763674
BA2811	NonMut	8.47663077360064
BA2540	NonMut	4.68836796933157
BA2928	NonMut	4.17753260382741
BA2595	NonMut	5.88961440143981
BA2792	NonMut	7.17761745050204
BA2651	NonMut	6.92432887364054
BA3013	NonMut	5.87965665517008
BA2735	NonMut	8.43517613550052
BA2856	NonMut	8.63894476137773
BA2377	NonMut	2.36843137715683
BA2499	NonMut	7.8503248353151
BA2463	NonMut	2.17929512084737
BA3023	NonMut	7.81686981561798
BA2095	NonMut	8.05288390011611
BA2901	NonMut	6.08192723673296
BA2275	NonMut	6.35757561884313
BA2387	NonMut	7.77444024847
BA2962	NonMut	6.61649602743193
BA2195	NonMut	8.31347995218337
BA2688	NonMut	7.560948520145
BA2787	NonMut	3.12103519528401
BA2420	NonMut	6.08362235286883
BA2756	NonMut	5.8081471591439
BA2122	NonMut	4.82431105237604
BA2081	NonMut	5.76181699229763
BA2354	NonMut	5.88722354181861
BA3273	NonMut	1.71633530219167
BA2893	NonMut	8.07971165578759
BA2044	NonMut	4.90950444103544
BA2489	NonMut	5.30096102579671
BA2309	NonMut	8.01457218763256
BA2908	NonMut	8.34151708484093
BA2526	NonMut	8.34681429629083
BA2464	NonMut	7.31579076602089
BA2902	NonMut	7.50436087643108
BA2143	NonMut	6.08318959151969
BA2094	NonMut	-1.9002011047749
BA2769	NonMut	7.3370513303313
BA2843	NonMut	5.51382815263466
BA2592	NonMut	5.87139334737162
BA2497	NonMut	-0.200351841889843
BA2718	NonMut	9.71984209806913
BA2575	NonMut	5.35965803846691
BA2593	NonMut	6.50598160592548
BA2791	NonMut	7.2245944685398
BA2620	NonMut	6.6396645832219
BA2629	NonMut	6.5105672693692
BA2870	NonMut	1.06894896681523
BA2423	NonMut	3.54497964521433
BA2276	NonMut	6.88553914900191
BA2348	NonMut	4.47099076274074
BA2709	NonMut	4.71407158331364
BA2538	NonMut	6.04021038079235
BA2583	NonMut	5.53534040119425
BA2415	NonMut	3.41140290286834
BA2806	NonMut	7.96744532914178
BA2221	NonMut	2.52007957747602
BA2514	NonMut	5.72754939375197
BA2520	NonMut	2.91242066204713
BA2479	NonMut	4.7941665840707
BA2932	NonMut	7.63041516939983
BA2660	NonMut	7.34370807957505
BA2836	NonMut	6.93954050250455
BA3027	NonMut	4.29639716866503
BA2139	NonMut	1.76917277909169
BA2251	NonMut	10.3660086756332
BA2952	NonMut	6.43493754543007
BA2440	NonMut	5.98220791058853
BA2828	NonMut	7.70840071464408
BA2292	NonMut	7.06020993945392
BA2410	NonMut	7.93187727167438
BA2051	NonMut	4.75937775414095
BA2532	NonMut	7.83554388846121
BA2494	NonMut	9.8991027074875
BA2515	NonMut	4.95086713745968
BA2970	NonMut	5.95193817538216
BA2622	NonMut	4.99389750199927
BA2839	NonMut	6.50494854074967
BA2052	NonMut	4.39995076697618
BA2868	NonMut	9.1872873383188
BA2510	NonMut	0.277265117709438
BA2065	NonMut	8.15477520582082
BA2691	NonMut	2.91665615356007
BA2374	NonMut	6.50348265468803
BA2670	NonMut	5.72023465218825
BA2675	NonMut	8.26396477173174
BA2589	NonMut	9.2592593958878
BA2031	NonMut	4.02452335153635
BA2198	NonMut	6.44613094518311
BA2066	NonMut	4.44555299237497
BA2344	NonMut	7.58759859001841
BA2459	NonMut	6.76898394569665
BA2559	NonMut	6.88867708372879
BA2093	NonMut	9.38234175781362
BA2000	NonMut	7.13121480456278
BA2425	NonMut	9.81131500696184
BA2304	NonMut	-0.0150693070758923
BA2976	NonMut	6.37878971540536
BA2386	NonMut	9.44987135785787
BA2035	NonMut	9.13342062895717
BA2760	NonMut	5.61668949030342
BA2201	NonMut	6.36792449266188
BA2355	NonMut	5.32233498083344
BA2113	NonMut	6.40170617544637
BA2955	NonMut	3.4170840126625
BA2502	NonMut	5.81083073745061
BA2376	NonMut	3.41561286956515
BA2226	NonMut	7.24647814947882
BA2200	NonMut	8.3603866090308
BA2121	NonMut	5.70530146482159
BA2944	NonMut	8.14513423086413
BA2033	NonMut	6.26705656087935
BA2867	NonMut	6.47866220517702
BA2089	NonMut	3.08537081267169
BA2224	NonMut	7.33529770605395
BA2046	NonMut	7.13433489569232
BA2829	NonMut	7.55977224878375
BA2851	NonMut	6.59041781660964
BA2587	NonMut	5.15207050393233
BA2623	NonMut	6.63383351459938
BA2024	NonMut	5.51691886633525
BA2426	NonMut	6.73745939965324
BA3004	NonMut	8.19012213724112
BA2579	NonMut	3.94179623964938
BA3010	NonMut	5.94914872700359
BA2662	NonMut	5.1312402648846
BA2280	NonMut	7.74536502725477
BA2512	NonMut	2.27310977570549
BA2658	NonMut	3.01238141071871
BA2394	NonMut	10.3745587770136
BA2950	NonMut	6.08318959151969
BA2981	NonMut	5.21743147503023
BA2934	NonMut	3.23073632692797
BA2539	NonMut	4.34458492733121
BA2249	NonMut	7.23036606098158
BA2034	NonMut	7.78401208165605
BA2277	NonMut	7.17358455839536
BA2618	NonMut	5.7443340618491
BA2521	NonMut	7.6685963483501
BA2846	NonMut	6.97731252665637
BA2885	NonMut	0.499201192837283
BA2786	NonMut	4.91685437213902
BA2399	NonMut	7.90654028957083
BA2850	NonMut	7.30676049708217
BA2174	NonMut	6.39165195051498
BA2004	NonMut	7.10612705087253
BA2483	NonMut	7.94314055717551
BA3040	NonMut	6.93954050250455
BA2837	NonMut	7.37675245327076
BA2724	NonMut	5.71100608100859
BA2911	NonMut	7.95452812467512
BA2256	NonMut	7.39540604135448
BA2821	NonMut	5.09181307158236
BA2233	NonMut	7.00565090016862
BA2744	NonMut	8.99906762077278
BA2880	NonMut	4.91721018578494
BA2621	NonMut	4.85056186804303
BA3002	NonMut	7.08521741719084
BA2501	NonMut	7.1646982323911
BA2993	NonMut	7.77161485169371
BA2301	NonMut	4.78361272995645
BA2852	NonMut	5.70872171926613
BA2133	NonMut	5.82429929461363
BA2866	NonMut	6.19563315556883
BA2212	NonMut	5.48915482766383
BA2685	NonMut	7.281719536851
BA2273	NonMut	7.99573716734119
BA2477	NonMut	7.05292631391108
BA2659	NonMut	6.8446685918264
BA2124	NonMut	7.65513327960109
BA2363	NonMut	7.42090370210596
BA2400	NonMut	7.14383843051354
BA2762	NonMut	7.08227901596389
BA2312	NonMut	7.25176192852259
BA2813	NonMut	7.19643196455649
BA2211	NonMut	9.02190186898869
BA2171	NonMut	7.29431703031285
BA2746	NonMut	4.79767961716109
BA2798	NonMut	7.96422079504262
BA2288	NonMut	4.72003247702049
BA2801	NonMut	6.06971777989566
BA3030	NonMut	5.4066422207313
BA2588	NonMut	8.07245680901417
BA2300	NonMut	5.79874599985332
BA2903	NonMut	5.63551782963557
BA2473	NonMut	7.36910502551481
BA2840	NonMut	9.59577094815016
BA2528	NonMut	6.5518017021576
BA3407	NonMut	4.81902834400603
BA2926	NonMut	6.5851771545889
BA2272	NonMut	5.95076318092024
BA2306	NonMut	5.04444275985059
BA2883	NonMut	8.31787605128572
BA2726	NonMut	-0.238630282752338
BA2234	NonMut	1.05164008757557
BA2184	NonMut	8.42083657982967
BA3009	NonMut	7.23636521102564
BA2842	NonMut	4.40802912825966
BA2882	NonMut	3.77959301841516
BA2758	NonMut	4.26323917922153
BA2705	NonMut	7.8210975174081
BA2663	NonMut	4.20873434593167
BA2764	NonMut	5.04210102667198
BA2209	NonMut	5.44603871114775
BA2855	NonMut	4.36015860511768
BA2261	NonMut	7.86519796261888
BA2721	NonMut	6.26118056372206
BA2930	NonMut	5.53979697945933
BA2715	NonMut	6.91854859965898
BA2469	NonMut	5.74011278993299
BA2269	NonMut	4.62036406268975
BA2098	NonMut	3.75076608161682
BA2778	NonMut	2.42732071858121
BA2951	NonMut	8.46922505155083
BA2163	NonMut	7.42519569680361
BA2379	NonMut	5.86210066626784
BA2817	NonMut	1.83042814261167
BA3153	NonMut	8.08335570616425
BA2820	NonMut	5.64240286737973
BA2723	NonMut	5.69915968973013
BA2704	NonMut	8.11104544817006
BA2088	NonMut	4.65333014368695
BA2116	NonMut	6.94294359338222
BA2584	NonMut	2.24349372699526
BA2417	NonMut	3.06113870744397
BA2361	NonMut	4.6932849776624
BA2450	NonMut	8.38100696139026
BA2492	NonMut	3.31109043996003
BA2552	NonMut	7.65148276489013
BA2994	NonMut	8.22036612888066
BA2047	NonMut	7.77846043065093
BA2101	NonMut	4.65120922776301
BA2082	NonMut	3.90728684369565
BA2879	NonMut	6.69192414230504
BA2456	NonMut	2.29791028651136
BA2175	NonMut	6.38261014012489
BA2824	NonMut	8.75098362594822
BA2563	NonMut	7.98067391429632
BA2244	NonMut	5.8045076557668
BA2470	NonMut	7.75780436658957
BA2984	NonMut	8.00780085925266
BA2414	NonMut	6.95751613947387
BA2697	NonMut	4.59081785984696
BA2079	NonMut	3.85600991616853
BA2644	NonMut	6.78194925141946
BA2011	NonMut	6.37975842200095
BA2454	NonMut	10.5981160524102
BA2776	NonMut	8.24717893447311
BA2830	NonMut	6.92050118830241
BA2406	NonMut	3.72560586066794
BA3108	NonMut	8.20616122712402
BA2160	NonMut	8.32893113987774
BA2040	NonMut	3.26599227921617
BA3195	NonMut	7.02200264661639
BA2516	NonMut	6.44710159988793
BA2353	NonMut	6.91854859965898
BA3036	NonMut	8.34456564828853
BA2971	NonMut	8.50093062457148
BA3410	NonMut	6.10703701818297
BA3206	NonMut	6.34190143280827
BA3202	NonMut	4.49454936710229
BA3405	NonMut	6.63486341869675
BA3371	NonMut	5.36365751969834
BA3411	NonMut	5.03642055076695
BA3133	NonMut	8.97142354261209
BA3451	NonMut	3.32501250452144
BA3286	NonMut	5.84234806468241
BA3212	NonMut	10.1019627568373
BA3103	NonMut	5.06069232646451
BA3271	NonMut	6.05279557201734
BA3152	NonMut	3.24991105964122
BA3095	NonMut	8.09989277486394
BA3362	NonMut	0.433070764286167
BA3400	NonMut	8.33337930026134
BA3408	NonMut	3.38554683036159
BA3187	NonMut	5.11433165880832
BA3098	NonMut	7.02978091514104
BA3261	NonMut	4.68906744298486
BA3203	NonMut	6.52375465899181
BA3174	NonMut	4.59438606664195
BA3299	NonMut	5.26710389157619
BA3221	NonMut	2.71814995189887
BA3347	NonMut	1.4977254366136
BA3235	NonMut	4.24655068383766
BA3126	NonMut	2.64402051124596
BA3380	NonMut	7.18812871773308
BA3089	NonMut	8.04934885751887
BA3109	NonMut	5.95395062623658
BA3114	NonMut	7.18398636132438
BA3245	NonMut	6.84839040918598
BA3085	NonMut	7.11517726354172
BA3128	NonMut	7.30861526987379
BA3423	NonMut	7.7605970351598
BA3173	NonMut	6.07221564365928
BA3210	NonMut	6.4915209071939
BA3433	NonMut	8.30037965468589
BA3374	NonMut	-0.177808519803868
BA3450	NonMut	6.77720928573593
BA3167	NonMut	0.719254707053097
BA3269	NonMut	6.76898394569665
BA3110	NonMut	2.87198103535148
BA3156	NonMut	7.83704881770087
BA3421	NonMut	6.54456958822718
BA3232	NonMut	8.15477520582082
BA3289	NonMut	4.99494706061389
BA3430	NonMut	3.64521772451027
BA3145	NonMut	8.20818067427413
BA3449	NonMut	8.79635277497105
BA3384	NonMut	7.68652733200955
BA3427	NonMut	7.88494695067266
BA3163	NonMut	2.07381903278467
BA3158	NonMut	7.96744532914178
BA3154	NonMut	0.601632895281666
BA3352	NonMut	7.01472936087095
BA3149	NonMut	3.28330883545606
BA3169	NonMut	3.00426499817374
BA3180	NonMut	7.02698040559294
BA3255	NonMut	7.81832288003789
BA3438	NonMut	1.59541816670198
BA3345	NonMut	2.11388863910946
BA3403	NonMut	1.97096633043764
BA3431	NonMut	6.16270217963845
BA3181	NonMut	5.21924696123963
BA3341	NonMut	7.60395254604328
BA3191	NonMut	7.06736498172321
BA3448	NonMut	7.76334677298606
BA3453	NonMut	6.94358580230343
BA3406	NonMut	7.62437772428186
BA3334	NonMut	4.22175408993243
BA3447	NonMut	4.59972375526065
BA3116	NonMut	3.24833932522177
BA3280	NonMut	7.63278489020753
BA3185	NonMut	2.28340449654963
