	ID_sample	TypeMutation	ExpressionGene
246	BA2501	NonMut	0.5796172546422546
247	BA2502	NonMut	0.2554461126304059
248	BA2505	NonMut	0.2094139462086697
249	BA2507	NonMut	0.6190335341667839
250	BA2510	NonMut	0.0203342702977387
251	BA2511	NonMut	0.1145245322603514
252	BA2512	NonMut	0.3620629952148811
253	BA2514	NonMut	0.210449138711381
254	BA2515	NonMut	0.0936308517200861
255	BA2523	NonMut	0.3790836752965296
256	BA2524	NonMut	0.3316526158399516
257	BA2525	NonMut	0.0640943635013068
258	BA2526	NonMut	0.3500031698747818
259	BA2532	NonMut	0.2354003859086909
260	BA2538	NonMut	0.4240097802137525
261	BA2539	NonMut	0.1664976799858344
262	BA2540	NonMut	0.1007360871003794
263	BA2541	NonMut	0.1408974760836314
264	BA2545	NonMut	0.2141247465641089
265	BA2546	NonMut	0.1240671559688523
266	BA2561	NonMut	0.4547598816780865
267	BA2563	NonMut	0.6558685636737558
268	BA2564	NonMut	0.3000487558800237
269	BA2567	NonMut	0.0471607532425318
270	BA2570	NonMut	0.2334481743272767
271	BA2575	NonMut	0.1530648906147879
272	BA2577	NonMut	0.1754975129098834
273	BA2579	NonMut	0.1920321862150997
274	BA2584	NonMut	0.2007765556534774
275	BA2587	NonMut	0.743689427436652
276	BA2588	NonMut	0.3521388625898267
277	BA2589	NonMut	0.3209519148239628
278	BA2592	NonMut	0.4067550358409438
279	BA2593	NonMut	0.0586617116890534
280	BA2594	NonMut	0.1497056780886039
281	BA2595	NonMut	0.2987560633460224
282	BA2597	NonMut	0.3399906111151607
283	BA2603	NonMut	0.3272220012648815
284	BA2618	NonMut	0.3955213773456815
285	BA2619	NonMut	0.2124341005088592
286	BA2620	NonMut	0.2664975209367325
287	BA2621	NonMut	0.2111757237127263
288	BA2623	NonMut	0.8038726737497515
289	BA2629	NonMut	0.3504910996646456
290	BA2631	NonMut	0.3227477782362995
291	BA2634	NonMut	0.2313716576966895
292	BA2636	NonMut	0.3268997601238429
293	BA2639	NonMut	0.6987008341132465
