ID_sample	TypeMutation	ExpressionGene
BA3146	NonMut	9.15628939970288
BA3211	NonMut	9.11086746340759
BA3130	NonMut	7.51630069461518
BA3376	NonMut	9.3217592552912
BA3137	NonMut	9.06304565250042
BA3300	NonMut	9.24242183959432
BA3375	NonMut	9.39118419839355
BA3249	NonMut	8.88978486658959
BA3385	NonMut	8.95438322249582
BA3242	NonMut	9.12586826213153
BA3446	NonMut	9.08127310626888
BA3416	NonMut	9.22687989289351
