	ABL1	SRP72
BA3078	0.0171070656092285	1004.232742944744
BA3079	0.0097873107426099	516.9391446437679
BA3083	0.0143294881038211	717.214014607513
BA3084	0.0100558759913482	565.3246389617728
BA3085	0.0095872386445565	617.8143203197859
BA3087	0.0460724585436193	1295.089509781923
BA3089	0.0248864455659697	762.3457783383451
BA3094	0.0194214131218457	792.5484626820029
BA3095	0.0163680605623648	514.494612037331
BA3098	0.0141834895457822	657.7528815269659
BA3099	0.0234228550829127	1281.600204489899
BA3103	0.0260598413842826	720.4940072123301
BA3108	0.0228857245854361	653.5589638072195
BA3109	0.0128082191780821	442.5116440427831
BA3110	0.0175684931506849	830.8145810778999
BA3114	0.0120421773612112	536.3096964819653
BA3116	0.0108183129055515	524.3998039225753
BA3117	0.030697548666186	1086.3948469938086
BA3118	0.0119214131218457	646.8520399451368
BA3119	0.0342880317231434	835.9747225549097
BA3123	0.0154091564527757	576.3866333985209
BA3124	0.0086968276856524	380.6083458723061
BA3126	0.0155641672674837	630.2632656797896
BA3128	0.0190338860850757	848.3350817862004
BA3130	0.0098792357606344	503.2572504413198
BA3133	0.0151586157173756	829.3517956190582
BA3135	0.0262274693583273	716.9957900579442
BA3136	0.015542537851478	755.0057430136009
BA3137	0.0138572458543619	652.8579298091861
BA3138	0.0158543619322278	544.6869425296929
BA3139	0.0150522710886806	2013.5229951850756
BA3141	0.0224477289113193	727.8868873147106
BA3142	0.0263806777217015	698.5146787773996
BA3145	0.0116618601297764	706.0809158288234
BA3146	0.0169232155731795	800.5442444056328
BA3149	0.0144826964671953	521.3327552006625
BA3152	0.0138248017303532	616.748603250646
BA3153	0.0316888968997837	1048.3399627763106
BA3154	0.0201856524873828	665.3238034688562
BA3156	0.0050630857966834	798.819364220822
BA3157	0.0243006488824801	964.3339632002468
BA3158	0.015192862292718	583.9218765332919
BA3162	0.0246665465032444	581.987584272701
BA3163	0.0108471521268925	479.79368895956304
BA3164	0.0192736121124729	935.0612749270346
BA3167	0.0217844268204758	613.7272507175304
BA3169	0.0142862292718096	687.5870694479082
BA3171	0.0217898341744772	703.9241272270452
BA3173	0.0176514059120403	1145.4731138949005
BA3174	0.0074242970439798	503.3764966900657
BA3175	0.0070782263878875	532.041323248153
BA3176	0.0175648882480173	742.2186119883748
BA3177	0.0181578947368421	1308.300858400082
BA3178	0.018866258111031	580.0713443530385
BA3180	0.0314023071377072	872.0550886893111
BA3181	0.0079632299927901	478.7616833064762
BA3182	0.0166888968997837	951.2334095432132
BA3183	0.0248089401586157	1210.817050768177
BA3185	0.0126496034607065	838.9658872323871
BA3186	0.0253749098774333	743.2710294239682
BA3187	0.0107930785868781	521.0033705543161
BA3189	0.0150558759913482	923.4650811514716
BA3190	0.0103731074260994	882.2802837795751
BA3191	0.0097116077865897	482.7763008091382
BA3192	0.016888968997837	1391.1134211416704
BA3194	0.0324909877433309	1188.148786567987
BA3195	0.0149477289113193	556.055790737919
BA3197	0.0242429704397981	464.1438711293774
BA3199	0.025270367700072	1228.8839194540535
BA3200	0.0230785868781542	833.0697102346228
BA3202	0.0192880317231434	812.8234055930732
BA3203	0.0158597692862292	598.918346037124
BA3206	0.0162743330930064	467.8162895863008
BA3207	0.0133020908435472	803.8957057608438
BA3208	0.0090915645277577	574.9435971320291
BA3210	0.0217123287671232	701.6738015544446
BA3211	0.0179812545061283	679.5849026639045
BA3212	0.0332281903388608	704.9203688929496
BA3213	0.0166149963950973	789.7939189845382
BA3214	0.009592645998558	815.5899985629713
BA3216	0.0157137707281903	718.8204669911598
BA3217	0.0261878154289834	717.7111296665229
