	PTPN11	SMC1A
BA2545	20.94124669628399	0.3952241348763003
BA2546	18.99909180138973	0.2944940248047345
BA2552	16.970131640737755	0.3170711239895659
BA2559	14.081354688308627	0.2156161256131744
BA2561	8.225056123389484	0.1437519797318473
BA2563	17.33397336920926	0.2338717752548273
BA2564	13.974435996557515	0.417651241129595
BA2567	6.532230302726126	0.0577308950534327
BA2570	22.38622147123564	0.1642606718154451
BA2575	10.361376185477951	0.3026674421302629
BA2577	20.382387269777333	0.4706706174792704
BA2579	18.172941762715816	0.2271293218926546
BA2583	25.543482158502837	0.2603253668703825
BA2584	21.881435806884262	0.2398261528967051
BA2587	21.078892020464146	0.5397716972629386
BA2588	15.34775428213297	0.2256692909529387
BA2589	17.98440359990241	0.0860593028691975
BA2592	19.84405027987057	0.5177355851495687
BA2593	0.8090165245861867	0.0323512286962603
BA2594	21.525920477694164	0.2869778197371034
BA2595	13.4174683952318	0.2164093359374393
BA2597	19.51682683095491	0.0891098452101692
BA2600	12.611281705199705	0.1981468570201742
BA2603	19.616353351392544	0.1198453760126588
BA2618	21.562852645082295	0.4328642260192508
BA2619	16.276085827293198	0.2918653151903426
BA2620	23.94293881406372	0.2444462354704645
BA2621	14.867078915259968	0.1817954920959613
BA2622	17.89404725424126	0.2580779070113076
BA2623	32.422525972432204	0.4564508125232316
BA2629	12.182439062832351	0.2998754353359694
BA2631	17.90739322912705	0.2509905216204183
BA2634	18.21284933426878	0.1330984108555486
BA2636	18.568704808257376	0.1408643820278768
BA2639	21.352582026728825	0.6670455875304463
BA2644	13.954630838917565	0.225636375315992
BA2645	21.812898951451057	0.0356252484048635
BA2646	24.75015114655788	0.2802327422707131
BA2649	23.86929555054728	0.4334100500767252
BA2651	15.009905620802682	0.0919617490094547
BA2653	35.09770771441234	0.2569497039823936
BA2655	47.73960715416454	0.7139990186126663
BA2656	12.23115155921837	0.0794379106146092
BA2657	19.747502000537104	0.3399398245536351
BA2658	20.77431422918143	0.2547795764626844
BA2659	20.045090782808657	0.2773546483240657
BA2660	16.149795869705212	0.2662669615708654
BA2662	12.045959777225177	0.7541105908967665
BA2663	12.517918211428482	0.2105269389462351
BA2667	14.667596859550976	0.2897379056481712
BA2670	17.34966639725265	0.1441389945777838
BA2674	17.279843318133707	0.1891502859984321
BA2675	20.317910549967007	0.2812962648255981
BA2676	18.58694648390418	0.3139591697544396
BA2677	18.577054779483333	0.3192005612125122
BA2681	15.08682239640497	0.3257687641974401
BA2682	19.076647524486	0.2404484787137783
BA2685	25.10516765487928	0.2767710412141184
BA2688	9.067482526668442	0.1378438970917537
BA2691	26.73737220376769	0.2612519547389361
BA2694	9.024019039461352	0.0781985177930957
