#Résultats bruts de l'abondance de mutation du gène TP53 selon la feature specificDxAtAcquisition_MDSMPN, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.006101 avec le test Mann-Whitney U
 Abundance   TotalKmers  NormalizedExpression specificDxAtAcquisition_MDSMPN
 45.068966 8.673760e+09              5.196013                          False
276.586207 1.255232e+10             22.034675                          False
 31.896552 8.683805e+09              3.673108                          False
202.034483 1.081995e+10             18.672409                          False
182.448276 8.443222e+09             21.608846                          False
158.482759 9.377847e+09             16.899696                          False
 36.655172 9.263615e+09              3.956897                          False
 67.689655 9.036584e+09              7.490624                          False
 21.344828 8.504459e+09              2.509839                          False
166.620690 1.257424e+10             13.250952                          False
207.586207 8.449282e+09             24.568502                          False
 81.517241 1.298227e+10              6.279120                          False
200.931034 1.115858e+10             18.006869                          False
148.275862 1.126770e+10             13.159367                          False
 45.689655 8.264259e+09              5.528585                          False
312.206897 8.414149e+09             37.104986                          False
 23.517241 8.684668e+09              2.707903                          False
232.034483 9.697777e+09             23.926564                          False
 31.000000 1.186580e+10              2.612551                          False
616.827586 8.747321e+09             70.516174                          False
521.896552 8.793963e+09             59.347139                          False
301.275862 7.963119e+09             37.833902                          False
 75.172414 8.331035e+09              9.023178                          False
150.448276 7.716696e+09             19.496463                          False
381.827586 9.523930e+09             40.091388                          False
 65.482759 7.659302e+09              8.549442                          False
 56.310345 9.406260e+09              5.986476                          False
 83.931034 9.625212e+09              8.719915                          False
 24.586207 8.755676e+09              2.808031                          False
 57.000000 7.396633e+09              7.706209                          False
142.931034 1.028094e+10             13.902525                          False
196.758621 1.219810e+10             16.130266                          False
170.965517 7.166337e+09             23.856752                          False
 40.620690 8.947256e+09              4.540017                          False
163.448276 7.815739e+09             20.912710                          False
173.137931 1.194717e+10             14.491964                          False
226.206897 1.215136e+10             18.615762                          False
 45.965517 1.179849e+10              3.895880                          False
189.551724 1.050290e+10             18.047555                          False
153.724138 9.689104e+09             15.865671                          False
312.551724 1.183531e+10             26.408420                          False
 19.241379 1.104851e+10              1.741537                          False
245.517241 7.673257e+09             31.996483                          False
142.655172 9.318384e+09             15.309004                          False
128.931034 8.965946e+09             14.380082                          False
149.896552 7.501582e+09             19.981993                          False
474.827586 1.233472e+10             38.495221                          False
425.827586 8.634398e+09             49.317578                          False
318.724138 9.269706e+09             34.383413                          False
193.413793 1.270211e+10             15.226905                          False
111.241379 7.852002e+09             14.167263                          False
 37.413793 8.025251e+09              4.662009                          False
320.482759 8.830584e+09             36.292364                          False
493.206897 9.220262e+09             53.491634                          False
212.724138 1.213128e+10             17.535174                          False
 29.896552 1.061286e+10              2.817011                          False
 66.275862 8.260289e+09              8.023432                          False
143.413793 9.361311e+09             15.319841                          False
203.275862 1.137375e+10             17.872372                          False
206.482759 9.148745e+09             22.569517                          False
484.413793 1.286380e+10             37.657130                          False
 79.103448 1.226937e+10              6.447228                          False
410.965517 7.759275e+09             52.964421                          False
244.965517 8.628494e+09             28.390298                          False
441.379310 1.254036e+10             35.196696                          False
360.241379 1.260141e+10             28.587390                          False
130.310345 8.115899e+09             16.056181                          False
160.655172 7.421624e+09             21.646903                          False
237.344828 1.462151e+10             16.232583                          False
138.482759 8.682317e+09             15.949977                          False
116.103448 8.000378e+09             14.512245                          False
233.655172 8.168213e+09             28.605422                          False
158.344828 8.929424e+09             17.732927                          False
 44.827586 9.354307e+09              4.792187                          False
 62.103448 7.789919e+09              7.972284                          False
469.034483 1.108694e+10             42.305134                          False
 73.931034 8.840811e+09              8.362472                          False
371.896552 8.951200e+09             41.547116                          False
198.965517 1.153613e+10             17.247170                          False
 58.379310 1.285208e+10              4.542402                           True
143.413793 8.578251e+09             16.718303                          False
265.827586 1.140540e+10             23.307160                          False
315.862069 1.195007e+10             26.431826                          False
559.482759 1.239749e+10             45.128715                          False
 14.965517 9.623216e+09              1.555147                          False
121.034483 1.296097e+10              9.338380                          False
176.206897 1.031085e+10             17.089470                          False
 96.206897 1.182336e+10              8.137020                          False
 58.793103 8.901402e+09              6.604926                          False
 25.482759 8.063055e+09              3.160435                          False
 23.517241 1.160064e+10              2.027236                          False
421.275862 9.427317e+09             44.686717                          False
 36.344828 6.844100e+09              5.310388                          False
167.103448 1.293326e+10             12.920443                          False
664.310345 1.208175e+10             54.984609                          False
254.620690 1.251246e+10             20.349370                          False
126.379310 1.150666e+10             10.983146                          False
199.241379 1.150527e+10             17.317395                          False
 46.000000 9.476463e+09              4.854132                          False
377.172414 8.147961e+09             46.290403                          False
571.344828 1.333923e+10             42.831923                          False
135.000000 9.840911e+09             13.718242                          False
114.655172 9.280434e+09             12.354506                          False
314.206897 8.243534e+09             38.115558                          False
135.758621 8.566528e+09             15.847567                          False
 84.896552 1.306337e+10              6.498823                          False
429.793103 1.134920e+10             37.869906                          False
 10.689655 9.651607e+09              1.107552                          False
 21.413793 1.071946e+10              1.997657                          False
118.793103 8.524355e+09             13.935729                          False
288.241379 1.130116e+10             25.505472                          False
 46.931034 8.030638e+09              5.843998                          False
177.724138 1.087497e+10             16.342494                          False
234.620690 1.111997e+10             21.099032                          False
254.551724 1.325000e+10             19.211452                          False
116.034483 1.269244e+10              9.142017                          False
 77.793103 1.344911e+10              5.784256                          False
 61.275862 8.174919e+09              7.495592                          False
 18.172414 1.106665e+10              1.642088                          False
198.724138 1.181290e+10             16.822641                          False
 19.310345 8.305332e+09              2.325054                          False
116.068966 9.900148e+09             11.723962                          False
103.620690 8.843945e+09             11.716569                          False
171.241379 1.222447e+10             14.008084                          False
 88.689655 6.721034e+09             13.195835                          False
453.310345 1.269887e+10             35.696915                          False
314.551724 1.233934e+10             25.491771                          False
391.068966 8.923147e+09             43.826350                          False
 77.413793 1.267442e+10              6.107875                          False
375.034483 1.264142e+10             29.667123                          False
 55.482759 9.376138e+09              5.917443                          False
539.482759 1.185453e+10             45.508568                          False
189.965517 5.072799e+09             37.447871                          False
185.655172 6.363310e+09             29.175879                          False
351.103448 9.067227e+09             38.722250                          False
366.655172 9.820734e+09             37.334802                          False
160.896552 1.249729e+10             12.874515                          False
