	TP53	NRAS
BA2515	5.15886081295599	7.71215406681609
BA2748	7.40707286933197	7.04988485075939
BA2970	5.24755295562951	7.69023500088856
BA2622	6.51970766408759	7.1743962727285
BA2839	4.57050598081279	7.99739906746641
BA2052	6.02245886806957	7.68013043810275
BA3011	5.49620333322403	7.52879493976561
BA2868	6.99309781087009	7.1445927897216
BA2510	6.43793151264448	8.05801802157941
BA2065	6.97592290315855	7.03474280183588
BA2691	6.06843510757967	7.05647487229206
BA2374	7.00642277827321	6.93420850135559
BA2804	6.34503333401511	7.20800173217813
BA2670	5.49867482524586	7.18812871773308
BA2675	7.10235206017353	7.22951525991334
BA2589	5.1329891862807	8.15090969693391
BA2031	7.10925539195399	6.75597489483719
BA2198	7.25440312060941	7.13044392794916
BA2066	7.26938021173089	7.18078818168097
BA2344	7.46260985261637	6.65069612456278
BA2459	5.71368801694621	7.61833712147791
BA2229	5.40590227988363	7.72941398094
BA2559	5.6290939324601	7.58415033094325
BA2093	5.51092026987085	6.84039491318719
BA2000	7.17116786854616	6.5550219238791
BA2425	5.8584977958134	7.14764743423536
BA2905	5.49361387353109	7.75227162313381
BA2304	6.02328497818552	6.91918219556931
BA2976	6.4673102312229	6.74898905678908
BA2386	5.5268548517384	7.41008797800013
BA2035	7.1288906231397	7.550843282623
BA2760	5.41465485346035	7.68399828509427
BA2201	7.07251029744415	6.84277692729058
BA2355	4.41532323585857	8.16059641320183
BA2113	6.94881589861991	7.06807720975175
BA2155	6.81026452482456	7.29872623007905
BA2955	6.52630500155159	6.87337102503918
BA2502	6.66232694076894	7.08227901596389
BA2322	6.32590234144832	7.80956394588893
BA2376	6.6601420957489	6.88034277223335
BA2020	7.56206988956539	7.10851364264035
BA2226	6.7421473941764	7.30676049708217
BA2200	7.31484141146978	6.95751613947387
BA2121	6.93827202821145	7.47524977931761
BA2944	7.40609048790591	7.44644074627456
BA2033	4.4255355439253	8.7332018546727
BA2867	5.44461485443026	7.91426996698012
BA2089	6.37831338727117	7.15951987646114
BA2224	5.98876336939614	7.18556384102574
BA2046	5.08690717420201	8.04242466385173
BA2972	6.65295694076347	7.70840071464408
BA2978	6.1725191860544	6.92898560318184
BA2829	6.66836924971821	7.28800386009291
BA2851	6.6656439229699	7.26066025557169
BA2587	6.82430487390793	7.04635072837336
BA2461	5.94954564902513	6.94225752405198
BA2695	5.06034106840668	8.26157753766667
BA2623	7.2808607611199	7.41600983782201
BA2024	6.16739291737488	6.76359470107912
BA2426	5.90761820174496	8.46676516104844
BA2271	6.57195133441217	7.53303259081949
BA3004	7.27718305881569	7.20712924024302
BA2579	6.39599982532293	6.95344802847081
BA3010	6.40785243829132	7.21300808308282
