	FLT3	IDH1
BA2714	9.4045391740165	7.14998539597838
BA2139	8.12230223339654	7.28622892412638
BA2251	6.48364202900439	6.17773554711095
BA2952	9.4917929010063	7.21378004978512
BA2440	6.23442968340786	5.27576605306409
BA2036	10.0007468429699	6.68593691853273
BA2828	7.5932544466496	6.34322095252985
BA2292	2.71814995189887	5.09390910729551
BA2410	9.1410080593907	4.9819516092596
BA2051	6.28007937385132	4.798374704262
BA2532	7.15158559200513	5.86821930876448
BA2986	9.93012293296997	6.7892246921242
BA2494	1.62077265501119	3.75076608161682
BA2515	6.30650779394135	4.05242084925905
BA2748	6.71554173603585	6.45455803457724
BA2970	6.56119717042577	4.23547754378357
BA2622	8.25135474465914	5.88961440143981
BA2839	6.91793209354363	5.32846021235263
BA2052	9.67150060698144	4.36867112545861
BA3011	7.01472936087095	4.83233699169056
BA2868	7.51191595859432	6.88867708372879
BA2510	7.69790613813162	4.67922683289374
BA2065	9.2389471182711	6.91069984449294
BA2691	7.01613705435711	6.43193622663115
BA2374	8.03197078783115	7.58991392876001
BA2804	5.86575939790696	5.2695794873648
BA2670	7.94936162159169	4.93263432505861
BA2675	9.09600320401444	7.41008797800013
BA2589	7.3370513303313	3.43461282312155
BA2031	9.82717700787936	6.82612058067876
BA2198	9.46372381175102	6.5550219238791
BA2066	9.88079564639631	6.1842076331656
BA2344	8.48158973981744	5.95439094102815
BA2459	7.58290428004672	5.73516831539579
BA2229	4.60792606754863	4.10073895515048
BA2559	7.21956573793108	5.07408997846094
BA2093	9.00955709168753	5.34151860321391
BA2000	8.65006116973985	7.95765939482996
BA2425	4.04111103630614	4.80920574953976
BA2905	8.01121552663761	3.14612847066654
BA2304	5.09390910729551	7.6112304020112
BA2976	6.88932432366148	6.03067265261494
BA2386	10.040753132835	4.25981249131916
BA2035	7.76614073791854	5.46628439479905
BA2760	7.45167143306165	5.35302745757832
BA2201	8.94761722776196	7.15481965297646
BA2355	6.16391479568772	2.57374882661096
BA2113	8.38007775591671	6.24956354515351
BA2155	5.46663574912202	4.31592922692549
BA2955	8.61423212805534	6.58727608652663
BA2502	9.62461563502098	6.82247572050957
BA2322	7.57131151688563	5.6147813580075
BA2376	6.56326897910348	6.97110220501606
BA2020	8.60067902691643	5.92833030401015
BA2226	7.88494695067266	6.57772759538865
BA2200	8.42559982560594	6.44374763893835
BA2121	8.09804401257278	5.63513768849615
BA2944	8.48407580140491	4.64167507429005
BA2033	6.6628728137431	5.27249782330272
BA2867	7.04988485075939	3.686686945389
BA2089	8.24301678047805	6.66232694076894
BA2224	6.09007059138125	4.84073982458941
BA2046	6.93764309063722	4.41752853740495
BA2972	7.72941398094	5.58233779466511
BA2978	8.03884116383771	5.90476239808708
BA2829	8.73910632748104	6.5851771545889
BA2851	9.1410080593907	6.52531304614774
BA2587	8.53473617000875	6.46680230521735
BA2461	5.10001075384759	4.97525881373139
BA2695	6.97592290315855	4.76744564892536
BA2623	8.15090969693391	5.17806224044823
BA2024	6.91854859965898	5.21467303087656
BA2426	7.57003408038875	5.06916581711999
BA2271	7.43037850226792	5.61291824722341
BA3004	8.87824586229709	5.9059700222253
BA2579	6.7240814115045	5.11604418341834
BA3010	7.82406690467398	5.43991302011835
BA2662	8.07064998624987	6.72757025712009
BA2674	9.7418222227506	4.64236314712384
BA2280	8.99906762077278	6.60421812247539
BA2512	7.84734534450722	7.07626127790368
BA2658	8.26607857536642	6.0515207109664
BA2394	9.10341841676742	6.19874995357892
BA2950	9.04860912314158	5.51054741525892
BA2981	6.3314194986068	4.82920315142492
BA2934	2.71506286109277	3.15379592329678
BA2539	5.35709573192361	5.69683059962592
BA2249	9.50601427714714	7.28989199463087
BA2034	9.98270084399411	5.90196356256727
BA2109	5.79524607347208	5.04550512990365
BA2242	9.88687313292775	4.49812951936181
BA2277	10.332335723606	6.49454808629482
BA2727	9.50601427714714	5.04344198379719
BA2132	7.51527675972318	4.47573564141147
BA2618	7.62437772428186	6.51917819512762
BA2521	9.16398396797258	7.60876718089275
BA2846	10.2205801589611	5.10282218386209
BA2885	9.50125973784097	8.3695120975799
BA2639	7.878761730409	6.32360812377741
BA2775	7.90342171341614	6.51657057172327
BA2402	8.13176351189552	4.97105541814246
BA2097	9.02364943472175	4.20135659440007
BA2786	6.36086030376613	6.43335604753767
BA2399	9.96180572661262	6.07775440645337
BA2850	9.0271917203024	5.43546904513176
BA2174	8.48656626341456	6.13208464272519
BA2004	7.10851364264035	5.26566945651455
BA3001	10.0272952150123	6.34691329698472
BA2311	7.07180826529373	5.8717903577196
BA2483	8.61607464234973	7.05570452227078
BA3040	5.418675896471	5.54245080282141
BA2837	8.88148184246882	5.24035827892386
