	NPM1	SRP72
BA2229	8.53473617000875	7.51732737025111
BA2559	8.68391306436784	7.82549928808227
BA2093	9.23491479941431	7.82549928808227
BA2000	8.08701091285537	7.40017541649469
BA2425	8.47600328572046	7.60641689970034
BA2905	9.22687989289351	7.95609226155088
BA2304	7.16215175411855	7.26669441560471
BA2976	8.65285322774346	7.52987979374564
BA2386	9.09970659968869	7.90654028957083
BA2035	9.33455230246716	7.99573716734119
BA2760	8.29820901257083	7.5932544466496
BA2201	8.89776108628452	7.44839655086442
BA2355	8.59260663428802	7.75640802704286
BA2113	8.50026123971081	8.16227987100065
BA2155	8.99906762077278	7.45167143306165
BA2955	8.07971165578759	7.34277993266588
BA2502	8.05457002396872	7.80235955590607
BA2322	8.93082572022568	8.06706072393759
BA2376	6.97993778438247	7.281719536851
BA2020	9.15245565249128	7.98220941306141
BA2226	8.81487669872437	8.0760787079227
BA2200	9.30065851731011	8.29387857030758
BA2121	8.92748837970555	8.17428733914348
BA2944	9.90525526471174	8.29820901257083
BA2033	7.17761745050204	7.83407017601998
BA2867	8.66126072825912	7.99739906746641
BA2089	7.65513327960109	7.81385914418798
BA2224	8.38331776349613	7.30411511402805
BA2046	9.3217592552912	8.3603866090308
BA2972	9.160132157513	8.13176351189552
BA2978	7.85205086731265	7.12505562496802
BA2829	8.79635277497105	8.2960419873451
BA2851	8.5529001392332	8.24717893447311
BA2587	8.72438748273975	7.58759859001841
BA2461	7.94314055717551	7.25176192852259
BA2695	7.68652733200955	8.55997698305646
BA2623	9.57411368730524	7.96744532914178
BA2024	7.58759859001841	7.13513562600345
BA2426	8.88148184246882	8.17428733914348
BA2271	7.95452812467512	7.45866975783138
BA3004	8.57129520837751	8.16644533071452
BA2579	7.85633367820174	7.20386734649371
BA3010	9.00605305286098	8.25764420926654
BA2662	8.34232080533324	7.72127626045477
BA2674	9.15245565249128	8.18020169656618
BA2280	8.50160207030541	8.23061160269424
BA2512	6.81629782268832	7.53405377993628
BA2658	9.070312190258	8.15671254170946
BA2394	8.21222936163239	7.11517726354172
BA2950	9.49651930986164	8.18614443860235
BA2981	8.63894476137773	7.41008797800013
BA2934	7.22625304922136	6.94881589861991
BA2539	7.8925772722697	6.91202595746356
BA2249	8.63894476137773	8.17822710034905
BA2034	8.94268168369866	8.44666418489783
BA2109	7.61245153291675	7.05647487229206
BA2242	8.12041880838799	7.58991392876001
BA2277	8.68676863894814	7.61949698331246
BA2727	9.83304132704525	8.30037965468589
BA2132	8.672544374331	7.74808252538179
BA2618	8.61151153389318	7.12422017929786
BA2521	8.672544374331	7.46894970580743
BA2846	9.1755941413251	7.74536502725477
BA2885	8.02142525655183	7.84567146798846
BA2639	9.04860912314158	7.77846043065093
BA2775	8.84941498844258	7.46577618872004
BA2402	9.26335235036244	7.74397164014646
BA2097	9.44070228005406	7.86087718753597
BA2786	9.34313727945847	8.43758065182973
BA2399	9.44070228005406	8.21425861754816
BA2850	8.91090509269608	8.0232452349054
BA2174	8.34232080533324	7.30225620212896
BA2004	7.48933909555342	7.166329054571
BA3001	9.69817061599593	8.09989277486394
BA2311	7.93028682049466	7.37675245327076
BA2483	8.48343527695382	7.58991392876001
BA3040	9.00605305286098	7.70582137825133
BA2837	9.37793858616158	8.05972702484149
BA2724	8.5607551950315	7.78816074108162
BA2911	9.35176787188011	7.81832288003789
BA2256	9.43613726309062	8.23886821722062
BA2821	9.69817061599593	7.86671215518685
BA2233	9.19906475607931	7.52428329559334
BA2744	9.34313727945847	7.35863482899504
BA2880	8.34906675857089	7.29515347515493
BA2621	8.28097335559112	7.30411511402805
BA3002	8.42744390017979	7.27378385953679
BA2501	8.48407580140491	7.94314055717551
BA2993	8.84624370479657	7.67625068419832
BA2301	8.06147774301482	7.7729524118183
BA2852	8.29820901257083	7.58640399756741
BA2133	7.83554388846121	6.70639038824238
BA2866	9.19906475607931	7.2925108116234
BA2212	9.33455230246716	7.68273154484305
BA2685	9.39562360946183	8.17625565039323
BA2273	8.83362186336888	8.08518191159815
BA2477	9.29229417829056	7.69288267465993
BA2659	8.45453034732936	7.33250978911574
BA2124	9.49819442110274	7.70961368830257
BA2363	8.84941498844258	7.60989112051761
BA2369	8.79328666582968	7.58879646153396
BA2534	9.0271917203024	7.70961368830257
BA2400	9.46836798648192	7.93658206656699
BA2762	8.96117775713075	8.08701091285537
BA2312	8.79635277497105	7.51849616731086
BA2813	9.54457000922792	8.07064998624987
BA2211	9.17734760232419	7.54625616208849
BA2171	9.17171491689544	7.51084212363206
BA2746	7.89401548128851	7.29872623007905
BA2798	9.67679810675791	8.18614443860235
BA2809	9.1872873383188	7.8894951557827
BA2288	8.55505298542423	7.80682500789732
BA2801	8.32449794408229	6.89902500194997
BA3030	8.66873090783595	7.12738803665014
BA2588	9.44070228005406	7.50105244518025
BA2296	9.28397254525379	7.54970729199318
BA2300	8.69249597847146	7.53974354156668
BA2903	6.47376016789819	5.9207696282738
BA2473	9.13518361120238	7.91426996698012
BA2545	8.25764420926654	7.24218373520164
BA2840	8.5971359914493	6.58940815390926
BA2528	9.14863087419242	7.43426786956565
BA2646	8.84941498844258	7.78542487009475
BA3407	8.40429460371975	7.46997411625783
BA2240	8.25554427681065	7.60876718089275
BA2926	9.48238177689826	7.71088637463883
BA2272	8.26607857536642	7.18474506245045
BA2306	8.87501645157825	8.09251475928632
BA2765	7.08068398565122	6.58836102643898
BA2904	8.52958832512444	7.31397253852267
BA2883	9.05581138653334	7.90803356905227
BA2726	6.49846429425474	7.98220941306141
BA2234	7.19816924570359	7.32489473499785
BA2022	8.91751782379931	8.09435501163422
BA2228	8.48906113697349	7.85205086731265
BA2037	9.49651930986164	7.74397164014646
BA2184	9.2592593958878	7.68273154484305
BA3009	9.06304565250042	6.93558317816731
BA2842	7.37484847247432	7.22867709025789
BA2442	8.86536741111737	8.09804401257278
BA2882	7.69790613813162	7.49901182668185
BA2758	8.01121552663761	7.1158850415745
BA2705	8.4594113881339	7.62925234894777
BA2663	7.58640399756741	7.2371970090631
BA2570	9.070312190258	8.18020169656618
BA2764	7.86519796261888	7.25008508374438
BA2209	8.23267071257109	7.86810697410873
BA2989	8.87824586229709	8.23886821722062
BA2855	7.70582137825133	7.40804987020109
BA2261	7.49565796423242	7.09779989974783
BA2721	8.41608983118813	7.26585264294213
BA2930	7.75371580805874	7.33618294917006
BA2728	7.74132890165977	7.10160504306164
BA2715	7.71215406681609	8.23473317956582
BA2469	7.96260346447077	6.77421514705842
BA2269	7.15633759792086	6.90558799283489
BA2098	8.09251475928632	6.95477050617829
BA2778	6.98621603600523	7.23036606098158
BA2951	9.78674968596522	8.0044307958278
BA2163	7.09568366825665	8.05972702484149
BA2379	7.31397253852267	6.94819581980106
BA2817	7.86671215518685	7.71600709198136
BA3153	7.92699657991781	7.5075244144456
BA2820	8.20414503388581	7.68775219309565
BA2723	8.22445433533228	7.15327818681819
BA2704	9.23491479941431	8.02685700006077
BA2088	8.3972661940189	7.66613976188412
BA2116	6.78491577385659	7.29872623007905
BA2584	7.87430709609213	7.97556074370465
BA3079	8.24717893447311	7.54295367203655
BA2417	8.47910806756512	7.94314055717551
BA2361	8.09067732991193	7.49042755149826
BA2450	8.75995195431454	7.72545959564587
BA2492	7.35202275514424	7.09339132647188
BA2552	9.4270458724936	8.17428733914348
BA2472	8.04060780611373	7.40900238551148
BA2994	9.04501990946176	8.268195867683
BA2047	8.54249270039127	8.05115312612603
BA2101	8.5117153749805	7.41889646736553
BA2082	8.97829037472744	8.07971165578759
BA2879	7.48057619109315	7.25176192852259
BA2577	9.4000752436972	7.8894951557827
BA2456	8.22445433533228	7.89401548128851
BA2175	6.84399982384708	7.30591810989836
BA2824	8.58457840504288	7.93990288358419
BA2507	9.15245565249128	8.09619809378225
BA2563	9.21888429779212	8.0232452349054
BA2244	8.44966638628301	7.46474071975909
BA2470	8.66407371953991	7.77713213848426
