	ID_sample	TypeMutation	ExpressionGene
426	BA3089	mut30	7.14144688839692
427	BA3094	mut30	6.04192947928388
428	BA3095	mut30	7.00355473079372
429	BA3098	mut30	7.18320770184298
430	BA3099	mut30	7.19643196455649
431	BA3103	mut30	4.76744564892536
432	BA3108	mut30	7.72127626045477
433	BA3109	mut30	4.1393823864995
434	BA3110	mut30	5.89878476046271
435	BA3114	mut30	5.61668949030342
436	BA3116	mut30	5.21851473599856
437	BA3117	mut30	7.35390839708449
438	BA3118	mut30	5.09252726658566
439	BA3119	mut30	7.49457772487061
440	BA3124	mut30	6.49248354368901
441	BA3126	mut30	5.90157614057374
442	BA3128	mut30	5.38876952657644
443	BA3130	mut30	5.8309436081772
444	BA3133	mut30	2.64661944832681
445	BA3136	mut30	6.5835484694239
446	BA3137	mut30	6.3931237186825
447	BA3138	mut30	4.92243921737633
448	BA3141	mut30	7.22786001580346
449	BA3142	mut30	6.02819468374248
450	BA3145	mut30	5.06527754778608
451	BA3146	mut30	6.79754404909056
452	BA3149	mut30	4.70453081211341
453	BA3152	mut30	6.37124794281337
454	BA3153	mut30	4.74113609559812
455	BA3156	mut30	7.72809482559201
456	BA3157	mut30	7.39540604135448
457	BA3158	mut30	7.19312453230448
458	BA3162	mut30	5.2256777958467
459	BA3163	mut30	6.00881830211778
460	BA3164	mut30	7.05570452227078
461	BA3169	mut30	4.86428104676734
462	BA3171	mut30	4.9459530906601
463	BA3173	mut30	5.77571318535643
464	BA3174	mut30	4.44043021773744
465	BA3175	mut30	5.8625242189267
466	BA3176	mut30	7.12422017929786
467	BA3177	mut30	6.8446685918264
468	BA3178	mut30	7.16876088952225
469	BA3180	mut30	5.2381836725971
470	BA3181	mut30	5.94996299067632
471	BA3182	mut30	6.75194526906574
472	BA3183	mut30	6.3548930381601
473	BA3185	mut30	4.91193698649749
474	BA3186	mut30	5.88287108041716
475	BA3187	mut30	6.05993013058661
476	BA3189	mut30	6.56478809528508
477	BA3190	mut30	4.91158461915654
478	BA3191	mut30	6.51708902749809
479	BA3192	mut30	6.00392077224602
480	BA3195	mut30	6.18294422218273
481	BA3197	mut30	7.19482368325309
482	BA3199	mut30	7.13671405241938
483	BA3200	mut30	7.51299557490928
484	BA3206	mut30	7.21621114040909
485	BA3207	mut30	6.05196623929884
486	BA3208	mut30	6.7831717134386
487	BA3210	mut30	4.53233174096288
488	BA3211	mut30	7.07770710445007
489	BA3212	mut30	7.40900238551148
490	BA3213	mut30	6.1346163312472
491	BA3214	mut30	5.28038295813947
492	BA3216	mut30	5.7725785925433
493	BA3217	mut30	6.77775850085893
494	BA3219	mut30	6.14458786712028
495	BA3221	mut30	6.08707291217101
496	BA3222	mut30	7.11288822976142
497	BA3225	mut30	5.73858169391831
498	BA3226	mut30	7.24647814947882
499	BA3227	mut30	7.52657913903788
500	BA3228	mut30	6.92898560318184
501	BA3229	mut30	6.73467335194796
502	BA3230	mut30	6.6396645832219
503	BA3232	mut30	7.26851020715081
504	BA3234	mut30	5.9027386298111
505	BA3235	mut30	5.77294291662078
506	BA3237	mut30	5.46883804276646
507	BA3242	mut30	6.60579006500373
508	BA3243	mut30	6.79931174111644
509	BA3245	mut30	4.44117628286088
510	BA3249	mut30	5.51912136607038
511	BA3250	mut30	6.74097656792209
512	BA3251	mut30	6.0786199138595
513	BA3255	mut30	6.94490055523594
514	BA3258	mut30	6.29048213777498
515	BA3260	mut30	4.89661464748925
516	BA3261	mut30	7.01472936087095
517	BA3264	mut30	6.59041781660964
518	BA3266	mut30	6.52120608932454
519	BA3268	mut30	7.34370807957505
520	BA3269	mut30	4.06243283557816
521	BA3270	mut30	6.16092602046833
522	BA3271	mut30	6.801788717217
523	BA3275	mut30	6.32590234144832
524	BA3277	mut30	4.94911331401403
525	BA3280	mut30	4.92485987316059
526	BA3283	mut30	4.76674888665219
527	BA3286	mut30	7.05362684769664
528	BA3289	mut30	5.33938509366527
529	BA3290	mut30	5.78541513449237
530	BA3293	mut30	7.60044547310861
531	BA3295	mut30	6.45945806358587
532	BA3296	mut30	5.45893049861312
533	BA3297	mut30	7.07405167828484
534	BA3299	mut30	5.12980289788787
535	BA3300	mut30	7.25440312060941
536	BA3302	mut30	7.58759859001841
537	BA3305	mut30	5.95806732051197
538	BA3306	mut30	5.91637612602088
539	BA3308	mut30	7.05796014084047
540	BA3310	mut30	6.02657524046515
541	BA3311	mut30	5.59212312780833
542	BA3312	mut30	7.11817234858432
543	BA3315	mut30	6.00051445317703
544	BA3318	mut30	4.35537320620163
545	BA3322	mut30	6.56014980461976
546	BA3324	mut30	6.24100946664766
547	BA3325	mut30	4.95195453348281
548	BA3326	mut30	6.30650779394135
549	BA3328	mut30	6.40737616847402
550	BA3329	mut30	6.36982886713941
551	BA3332	mut30	5.99034044706391
552	BA3333	mut30	5.96907627794874
553	BA3334	mut30	5.40076226918126
554	BA3335	mut30	4.798374704262
555	BA3339	mut30	6.33324319286844
556	BA3341	mut30	3.94932461697197
557	BA3345	mut30	5.13908038133443
558	BA3347	mut30	5.76798676791736
559	BA3351	mut30	6.44710159988793
560	BA3352	mut30	6.67002543512013
561	BA3353	mut30	7.34734759358865
562	BA3357	mut30	6.87403385388121
563	BA3362	mut30	6.85025853686514
564	BA3367	mut30	4.47211486954081
565	BA3369	mut30	6.76002445528346
566	BA3371	mut30	4.72180716429242
567	BA3373	mut30	7.41600983782201
568	BA3374	mut30	6.83464418679852
